locus	size
Contig_150	288
Contig_151	284
Contig_162	309
Contig_167	364
Contig_207	323
Contig_224	299
Contig_305	283
Contig_326	328
Contig_343	317
Contig_345	292
Contig_354	319
Contig_359	279
Contig_367	310
Contig_391	284
Contig_393	287
Contig_404	322
Contig_448	318
Contig_460	308
Contig_466	324
Contig_486	273
Contig_518	310
Contig_532	287
Contig_538	289
Contig_542	306
Contig_554	269
Contig_555	295
Contig_578	282
Contig_584	330
Contig_615	302
Contig_616	296
Contig_622	280
Contig_627	285
Contig_629	287
Contig_681	274
Contig_695	377
Contig_723	295
Contig_772	303
Contig_775	348
Contig_779	298
Contig_808	319
Contig_841	289
Contig_854	306
Contig_868	304
Contig_873	304
Contig_874	289
Contig_897	304
Contig_911	306
Contig_913	327
Contig_920	296
Contig_921	267
Contig_928	318
Contig_931	289
Contig_1015	320
Contig_1062	322
Contig_1096	317
Contig_1112	304
Contig_1117	283
Contig_1122	287
Contig_1130	292
Contig_1132	279
Contig_1141	280
Contig_1200	313
Contig_1208	306
Contig_1211	319
Contig_1236	311
Contig_1275	322
Contig_1280	301
Contig_1283	332
Contig_1289	266
Contig_1305	313
Contig_1310	303
Contig_1311	326
Contig_1331	289
Contig_1370	294
Contig_1373	280
Contig_1395	350
Contig_1401	276
Contig_1417	307
Contig_1436	292
Contig_1445	344
Contig_1453	279
Contig_1464	283
Contig_1471	343
Contig_1481	306
Contig_1525	325
Contig_1560	311
Contig_1597	309
Contig_1630	286
Contig_1657	308
Contig_1720	265
Contig_1729	283
Contig_1743	311
Contig_1744	330
Contig_1745	307
Contig_1759	295
Contig_1788	292
Contig_1806	299
Contig_1821	314
Contig_1823	304
Contig_1825	286
Contig_1852	318
Contig_1857	312
Contig_1875	281
Contig_1886	267
Contig_1900	297
Contig_1903	279
Contig_1905	295
Contig_1911	298
Contig_1918	317
Contig_1923	294
Contig_1924	332
Contig_1926	294
Contig_1943	268
Contig_1945	297
Contig_1949	318
Contig_1974	298
Contig_2014	311
Contig_2038	288
Contig_2042	320
Contig_2058	314
Contig_2060	324
Contig_2075	317
Contig_2077	289
Contig_2098	317
Contig_2149	286
Contig_2167	312
Contig_2189	316
Contig_2276	317
Contig_2288	311
Contig_2316	301
Contig_2330	293
Contig_2334	293
Contig_2343	304
Contig_2354	298
Contig_2419	310
Contig_2440	317
Contig_2467	323
Contig_2499	268
Contig_2506	316
Contig_2519	297
Contig_2536	316
Contig_2541	352
Contig_2547	277
Contig_2560	318
Contig_2597	369
Contig_2603	293
Contig_2626	272
Contig_2668	291
Contig_2674	332
Contig_2682	310
Contig_2703	287
Contig_2705	290
Contig_2711	292
Contig_2723	294
Contig_2752	277
Contig_2757	322
Contig_2911	291
Contig_2917	290
Contig_2974	283
Contig_2985	293
Contig_2997	350
Contig_3031	295
Contig_3045	316
Contig_3074	296
Contig_3091	316
Contig_3109	276
Contig_3194	283
Contig_3199	319
Contig_3200	302
Contig_3204	341
Contig_3237	303
Contig_3250	302
Contig_3268	316
Contig_3269	317
Contig_3284	308
Contig_3290	291
Contig_3304	321
Contig_3312	312
Contig_3343	282
Contig_3401	299
Contig_3471	299
Contig_3477	290
Contig_3528	268
Contig_3575	317
Contig_3625	292
Contig_3632	310
Contig_3720	281
Contig_3747	317
Contig_3750	298
Contig_3753	285
Contig_3776	307
Contig_3783	312
Contig_3820	288
Contig_3822	303
Contig_3831	284
Contig_3844	292
Contig_3860	322
Contig_3881	267
Contig_3899	314
Contig_3903	292
Contig_3959	298
Contig_3960	307
Contig_3967	291
Contig_4024	325
Contig_4040	322
Contig_4049	297
Contig_4059	285
Contig_4061	308
Contig_4067	286
Contig_4075	312
Contig_4079	285
Contig_4111	330
Contig_4126	295
Contig_4129	291
Contig_4136	277
Contig_4142	360
Contig_4226	317
Contig_4227	323
Contig_4235	323
Contig_4244	288
Contig_4260	288
Contig_4263	308
Contig_4281	322
Contig_4294	313
Contig_4301	286
Contig_4308	268
Contig_4337	289
Contig_4379	308
Contig_4385	310
Contig_4388	317
Contig_4396	286
Contig_4432	313
Contig_4434	268
Contig_4443	291
Contig_4449	310
Contig_4454	307
Contig_4481	321
Contig_4542	326
Contig_4561	290
Contig_4567	313
Contig_4568	306
Contig_4628	326
Contig_4648	279
Contig_4655	315
Contig_4677	296
Contig_4689	274
Contig_4747	308
Contig_4766	289
Contig_4773	271
Contig_4821	284
Contig_4872	307
Contig_4899	304
Contig_4927	298
Contig_4960	290
Contig_4979	321
Contig_5025	275
Contig_5080	333
Contig_5081	313
Contig_5090	289
Contig_5107	337
Contig_5167	312
Contig_5223	292
Contig_5264	270
Contig_5298	297
Contig_5362	289
Contig_5365	271
Contig_5374	276
Contig_5420	307
Contig_5422	287
Contig_5431	277
Contig_5437	296
Contig_5439	287
Contig_5448	350
Contig_5468	290
Contig_5473	313
Contig_5484	292
Contig_5544	317
Contig_5570	304
Contig_5594	287
Contig_5599	289
Contig_5672	290
Contig_5685	290
Contig_5729	303
Contig_5761	325
Contig_5783	270
Contig_5795	332
Contig_5802	302
Contig_5848	285
Contig_5863	321
Contig_5875	284
Contig_5883	321
Contig_5908	294
Contig_5913	302
Contig_5952	275
Contig_5970	324
Contig_5976	304
Contig_5987	307
Contig_5996	301
Contig_5999	306
Contig_6002	292
Contig_6059	316
Contig_6076	266
Contig_6093	276
Contig_6173	285
Contig_6230	282
Contig_6243	258
Contig_6268	327
Contig_6276	320
Contig_6281	323
Contig_6325	292
Contig_6334	288
Contig_6351	291
Contig_6353	262
Contig_6377	285
Contig_6381	270
Contig_6389	302
Contig_6398	281
Contig_6405	298
Contig_6436	280
Contig_6456	282
Contig_6486	312
Contig_6514	363
Contig_6525	274
Contig_6560	288
Contig_6596	310
Contig_6605	325
Contig_6618	322
Contig_6637	308
Contig_6646	295
Contig_6679	291
Contig_6681	303
Contig_6709	310
Contig_6721	270
Contig_6756	327
Contig_6791	268
Contig_6812	306
Contig_6831	293
Contig_6846	309
Contig_6874	321
Contig_6925	291
Contig_6955	282
Contig_7028	280
Contig_7034	284
Contig_7066	316
Contig_7077	276
Contig_7080	282
Contig_7095	288
Contig_7130	320
Contig_7139	296
Contig_7193	303
Contig_7209	306
Contig_7214	376
Contig_7216	276
Contig_7218	280
Contig_7266	281
Contig_7270	285
Contig_7330	365
Contig_7333	278
Contig_7343	276
Contig_7348	285
Contig_7358	306
Contig_7362	307
Contig_7391	268
Contig_7443	289
Contig_7456	327
Contig_7484	295
Contig_7495	271
Contig_7509	300
Contig_7525	272
Contig_7526	278
Contig_7594	282
Contig_7661	300
Contig_7670	276
Contig_7672	286
Contig_7678	321
Contig_7693	274
Contig_7740	277
Contig_7751	315
Contig_7773	306
Contig_7783	290
Contig_7814	320
Contig_7865	304
Contig_7871	318
Contig_7879	327
Contig_7897	315
Contig_8037	312
Contig_8081	307
Contig_8095	325
Contig_8130	325
Contig_8141	311
Contig_8178	345
Contig_8180	296
Contig_8185	319
Contig_8239	288
Contig_8257	276
Contig_8259	279
Contig_8321	277
Contig_8325	287
Contig_8327	324
Contig_8329	307
Contig_8346	281
Contig_8360	320
Contig_8433	296
Contig_8486	287
Contig_8511	297
Contig_8535	277
Contig_8544	289
Contig_8559	321
Contig_8571	313
Contig_8602	388
Contig_8622	307
Contig_8631	284
Contig_8638	317
Contig_8642	283
Contig_8665	316
Contig_8672	315
Contig_8685	270
Contig_8728	291
Contig_8734	286
Contig_8792	269
Contig_8793	277
Contig_8822	298
Contig_8824	286
Contig_8845	268
Contig_8867	307
Contig_8886	278
Contig_8901	297
Contig_8903	320
Contig_8927	281
Contig_8952	276
Contig_9003	295
Contig_9025	322
Contig_9029	329
Contig_9035	276
Contig_9040	284
Contig_9054	355
Contig_9093	307
Contig_9144	276
Contig_9159	327
Contig_9201	319
Contig_9212	316
Contig_9232	267
Contig_9254	297
Contig_9311	322
Contig_9338	299
Contig_9341	294
Contig_9344	316
Contig_9368	320
Contig_9408	291
Contig_9451	312
Contig_9460	307
Contig_9476	323
Contig_9479	275
Contig_9483	333
Contig_9499	313
Contig_9565	316
Contig_9594	305
Contig_9601	304
Contig_9604	268
Contig_9614	295
Contig_9657	273
Contig_9662	322
Contig_9671	268
Contig_9705	310
Contig_9735	328
Contig_9756	279
Contig_9791	287
Contig_9807	300
Contig_9819	308
Contig_9822	282
Contig_9865	274
Contig_9869	283
Contig_9872	301
Contig_9990	303
Contig_10005	275
Contig_10006	275
Contig_10008	317
Contig_10013	290
Contig_10030	295
Contig_10031	298
Contig_10041	290
Contig_10045	320
Contig_10088	273
Contig_10089	317
Contig_10122	275
Contig_10131	296
Contig_10198	328
Contig_10199	318
Contig_10202	305
Contig_10209	275
Contig_10214	285
Contig_10215	313
Contig_10230	288
Contig_10236	286
Contig_10277	283
Contig_10300	288
Contig_10306	304
Contig_10322	312
Contig_10354	298
Contig_10356	281
Contig_10399	294
Contig_10411	287
Contig_10413	323
Contig_10439	304
Contig_10459	292
Contig_10465	276
Contig_10515	320
Contig_10552	311
Contig_10558	270
Contig_10565	357
Contig_10605	301
Contig_10628	285
Contig_10665	336
Contig_10686	269
Contig_10741	311
Contig_10803	321
Contig_10817	306
Contig_10824	308
Contig_10826	284
Contig_10855	286
Contig_10874	325
Contig_10875	322
Contig_10881	276
Contig_10898	292
Contig_10928	324
Contig_10952	312
Contig_10966	288
Contig_10967	310
Contig_10979	304
Contig_11033	272
Contig_11074	288
Contig_11080	290
Contig_11145	305
Contig_11161	288
Contig_11207	310
Contig_11233	315
Contig_11245	264
Contig_11316	288
Contig_11334	320
Contig_11396	296
Contig_11403	311
Contig_11445	259
Contig_11497	326
Contig_11500	296
Contig_11510	305
Contig_11567	306
Contig_11573	304
Contig_11584	295
Contig_11587	286
Contig_11615	279
Contig_11649	322
Contig_11650	322
Contig_11657	284
Contig_11668	298
Contig_11670	315
Contig_11709	299
Contig_11762	291
Contig_11817	309
Contig_11834	295
Contig_11876	293
Contig_11906	290
Contig_11925	270
Contig_11932	303
Contig_11965	294
Contig_11974	310
Contig_11990	291
Contig_12011	330
Contig_12049	294
Contig_12087	321
Contig_12128	287
Contig_12152	305
Contig_12158	281
Contig_12169	394
Contig_12218	286
Contig_12224	317
Contig_12314	292
Contig_12315	305
Contig_12351	275
Contig_12384	319
Contig_12403	306
Contig_12431	303
Contig_12459	319
Contig_12462	277
Contig_12523	298
Contig_12530	286
Contig_12574	285
Contig_12599	298
Contig_12622	278
Contig_12632	312
Contig_12674	268
Contig_12705	275
Contig_12757	313
Contig_12764	274
Contig_12765	316
Contig_12766	315
Contig_12793	307
Contig_12800	315
Contig_12814	288
Contig_12832	284
Contig_12856	316
Contig_12860	316
Contig_12903	304
Contig_12913	320
Contig_13002	304
Contig_13016	290
Contig_13020	282
Contig_13052	299
Contig_13111	326
Contig_13115	307
Contig_13122	316
Contig_13137	315
Contig_13196	313
Contig_13224	290
Contig_13270	307
Contig_13310	309
Contig_13328	321
Contig_13367	283
Contig_13434	357
Contig_13445	315
Contig_13501	295
Contig_13502	291
Contig_13528	322
Contig_13582	324
Contig_13615	328
Contig_13624	280
Contig_13642	299
Contig_13682	294
Contig_13690	278
Contig_13694	268
Contig_13755	314
Contig_13809	291
Contig_13828	269
Contig_13864	306
Contig_13889	315
Contig_13891	322
Contig_13928	325
Contig_13947	291
Contig_13958	297
Contig_13982	274
Contig_14005	324
Contig_14059	304
Contig_14065	330
Contig_14114	311
Contig_14121	308
Contig_14123	272
Contig_14136	327
Contig_14166	295
Contig_14179	278
Contig_14206	291
Contig_14220	315
Contig_14304	326
Contig_14312	297
Contig_14336	304
Contig_14365	277
Contig_14389	289
Contig_14430	300
Contig_14434	301
Contig_14438	268
Contig_14455	344
Contig_14457	290
Contig_14464	291
Contig_14548	286
Contig_14569	341
Contig_14586	309
Contig_14601	303
Contig_14611	299
Contig_14619	286
Contig_14639	301
Contig_14652	290
Contig_14654	294
Contig_14776	306
Contig_14799	270
Contig_14823	314
Contig_14829	282
Contig_14830	303
Contig_14862	283
Contig_14963	284
Contig_14976	304
Contig_15052	313
Contig_15075	277
Contig_15103	300
Contig_15119	306
Contig_15121	334
Contig_15127	313
Contig_15130	326
Contig_15142	275
Contig_15187	278
Contig_15294	296
Contig_15311	291
Contig_15319	312
Contig_15338	287
Contig_15353	311
Contig_15357	315
Contig_15392	307
Contig_15415	290
Contig_15427	279
Contig_15433	271
Contig_15436	276
Contig_15461	316
Contig_15574	308
Contig_15666	300
Contig_15702	301
Contig_15712	266
Contig_15747	388
Contig_15756	289
Contig_15850	287
Contig_15857	299
Contig_15861	291
Contig_15868	301
Contig_15869	285
Contig_15899	313
Contig_15920	346
Contig_15939	297
Contig_15944	325
Contig_15946	290
Contig_15949	319
Contig_15993	279
Contig_16010	285
Contig_16052	326
Contig_16115	317
Contig_16159	282
Contig_16207	286
Contig_16218	308
Contig_16224	294
Contig_16250	275
Contig_16292	278
Contig_16328	276
Contig_16330	299
Contig_16390	321
Contig_16402	298
Contig_16439	293
Contig_16447	328
Contig_16452	289
Contig_16461	290
Contig_16479	275
Contig_16532	322
Contig_16536	278
Contig_16607	329
Contig_16628	328
Contig_16635	286
Contig_16651	276
Contig_16690	325
Contig_16777	296
Contig_16802	313
Contig_16836	292
Contig_16876	342
Contig_16927	296
Contig_16932	267
Contig_16938	279
Contig_16939	298
Contig_16964	324
Contig_16974	313
Contig_16997	290
Contig_17017	286
Contig_17046	309
Contig_17070	356
Contig_17094	272
Contig_17183	319
Contig_17190	301
Contig_17275	283
Contig_17279	305
Contig_17293	280
Contig_17347	294
Contig_17360	269
Contig_17415	294
Contig_17453	281
Contig_17462	325
Contig_17543	321
Contig_17573	313
Contig_17600	322
Contig_17615	329
Contig_17623	286
Contig_17649	288
Contig_17708	313
Contig_17726	285
Contig_17750	295
Contig_17882	272
Contig_17896	297
Contig_17911	296
Contig_17959	298
Contig_17992	296
Contig_18025	297
Contig_18072	306
Contig_18086	275
Contig_18114	284
Contig_18129	287
Contig_18157	370
Contig_18195	319
Contig_18204	268
Contig_18265	308
Contig_18314	282
Contig_18320	269
Contig_18349	326
Contig_18350	312
Contig_18413	303
Contig_18425	313
Contig_18429	307
Contig_18431	306
Contig_18443	278
Contig_18481	305
Contig_18491	300
Contig_18498	294
Contig_18501	311
Contig_18508	314
Contig_18518	326
Contig_18621	300
Contig_18631	299
Contig_18654	324
Contig_18708	308
Contig_18736	292
Contig_18748	298
Contig_18794	310
Contig_18818	276
Contig_18866	303
Contig_18915	278
Contig_18930	286
Contig_18951	293
Contig_18991	281
Contig_18995	315
Contig_19008	325
Contig_19050	319
Contig_19116	318
Contig_19121	280
Contig_19130	330
Contig_19152	274
Contig_19179	265
Contig_19199	279
Contig_19205	309
Contig_19215	279
Contig_19224	321
Contig_19316	274
Contig_19340	315
Contig_19367	287
Contig_19379	314
Contig_19384	320
Contig_19458	277
Contig_19503	311
Contig_19539	305
Contig_19553	306
Contig_19571	303
Contig_19602	327
Contig_19620	270
Contig_19656	323
Contig_19669	300
Contig_19762	382
Contig_19865	269
Contig_19914	285
Contig_20030	270
Contig_20086	260
Contig_20107	284
Contig_20168	274
Contig_20195	320
Contig_20205	289
Contig_20213	308
Contig_20298	285
Contig_20317	277
Contig_20361	295
Contig_20391	314
Contig_20392	302
Contig_20418	290
Contig_20428	274
Contig_20515	306
Contig_20536	323
Contig_20571	271
Contig_20596	290
Contig_20641	338
Contig_20657	320
Contig_20658	364
Contig_20660	292
Contig_20691	288
Contig_20730	287
Contig_20774	286
Contig_20778	266
Contig_20845	284
Contig_20886	275
Contig_20915	308
Contig_20998	311
Contig_21058	296
Contig_21092	307
Contig_21115	310
Contig_21130	271
Contig_21169	287
Contig_21282	299
Contig_21305	307
Contig_21372	295
Contig_21381	299
Contig_21442	283
Contig_21462	280
Contig_21465	303
Contig_21471	280
Contig_21531	285
Contig_21558	327
Contig_21588	294
Contig_21638	303
Contig_21639	302
Contig_21687	280
Contig_21706	290
Contig_21739	273
Contig_21790	294
Contig_21797	305
Contig_21958	276
Contig_21967	314
Contig_21990	303
Contig_22060	289
Contig_22073	311
Contig_22079	284
Contig_22151	321
Contig_22159	274
Contig_22199	275
Contig_22201	264
Contig_22266	267
Contig_22273	288
Contig_22317	331
Contig_22353	290
Contig_22414	306
Contig_22492	289
Contig_22497	269
Contig_22623	313
Contig_22626	284
Contig_22644	281
Contig_22761	307
Contig_22921	330
Contig_22948	300
Contig_23047	289
Contig_23061	279
Contig_23132	312
Contig_23156	307
Contig_23162	302
Contig_23235	310
Contig_23290	271
Contig_23346	317
Contig_23376	339
Contig_23439	295
Contig_23483	281
Contig_23536	292
Contig_23554	283
Contig_23642	300
Contig_23698	310
Contig_23708	321
Contig_23817	288
Contig_23825	325
Contig_23868	312
Contig_23887	324
Contig_23991	278
Contig_24004	277
Contig_24146	322
Contig_24202	282
Contig_24205	321
Contig_24219	288
Contig_24248	305
Contig_24251	360
Contig_24275	296
Contig_24293	302
Contig_24314	323
Contig_24351	312
Contig_24449	285
Contig_24458	283
Contig_24492	310
Contig_24534	291
Contig_24552	307
Contig_24582	322
Contig_24591	298
Contig_24593	280
Contig_24603	322
Contig_24605	318
Contig_24613	286
Contig_24667	271
Contig_24687	340
Contig_24692	286
Contig_24694	322
Contig_24723	279
Contig_24748	290
Contig_24776	290
Contig_24800	303
Contig_24826	275
Contig_24879	321
Contig_24981	267
Contig_25130	342
Contig_25269	318
Contig_25290	318
Contig_25308	304
Contig_25315	323
Contig_25345	277
Contig_25402	282
Contig_25425	315
Contig_25514	301
Contig_25552	306
Contig_25610	314
Contig_25685	276
Contig_25700	282
Contig_25768	286
Contig_25807	301
Contig_25827	305
Contig_25867	266
Contig_25937	283
Contig_25981	295
Contig_26057	305
Contig_26185	320
Contig_26225	316
Contig_26324	334
Contig_26441	313
Contig_26465	292
Contig_26472	278
Contig_26487	289
Contig_26505	286
Contig_26559	282
Contig_26584	316
Contig_26622	337
Contig_26636	279
Contig_26643	334
Contig_26653	288
Contig_26660	295
Contig_26681	290
Contig_26682	286
Contig_26746	274
Contig_26817	281
Contig_26836	288
Contig_26837	302
Contig_26858	291
Contig_26919	290
Contig_26930	294
Contig_26953	326
Contig_26963	278
Contig_26989	292
Contig_27026	326
Contig_27060	279
Contig_27062	396
Contig_27075	324
Contig_27116	292
Contig_27134	282
Contig_27183	314
Contig_27201	282
Contig_27273	271
Contig_27294	315
Contig_27414	291
Contig_27415	313
Contig_27486	275
Contig_27565	280
Contig_27567	280
Contig_27576	269
Contig_27597	321
Contig_27606	268
Contig_27636	302
Contig_27674	263
Contig_27692	322
Contig_27774	313
Contig_27778	280
Contig_27794	297
Contig_27803	314
Contig_27874	282
Contig_27966	271
Contig_27989	315
Contig_28025	279
Contig_28057	318
Contig_28082	318
Contig_28122	310
Contig_28213	313
Contig_28248	326
Contig_28268	282
Contig_28305	300
Contig_28389	288
Contig_28405	312
Contig_28406	385
Contig_28455	306
Contig_28605	269
Contig_28647	301
Contig_28736	311
Contig_28763	277
Contig_28764	323
Contig_28773	297
Contig_28816	314
Contig_28881	356
Contig_28882	324
Contig_28906	316
Contig_28910	263
Contig_28920	289
Contig_28954	301
Contig_28977	386
Contig_29000	303
Contig_29015	271
Contig_29035	289
Contig_29062	350
Contig_29067	303
Contig_29090	266
Contig_29140	349
Contig_29149	309
Contig_29312	298
Contig_29439	290
Contig_29464	274
Contig_29474	329
Contig_29503	297
Contig_29509	303
Contig_29539	330
Contig_29550	280
Contig_29569	318
Contig_29577	307
Contig_29580	288
Contig_29679	309
Contig_29746	303
Contig_29779	283
Contig_29780	315
Contig_29800	287
Contig_29848	298
Contig_29858	301
Contig_29931	281
Contig_29953	310
Contig_30010	292
Contig_30032	310
Contig_30046	291
Contig_30158	339
Contig_30163	289
Contig_30176	282
Contig_30256	301
Contig_30269	318
Contig_30272	300
Contig_30294	343
Contig_30416	277
Contig_30453	280
Contig_30461	316
Contig_30468	269
Contig_30476	282
Contig_30481	315
Contig_30523	303
Contig_30560	283
Contig_30639	313
Contig_30651	289
Contig_30660	287
Contig_30701	281
Contig_30753	287
Contig_30909	295
Contig_30988	302
Contig_31074	325
Contig_31157	313
Contig_31171	279
Contig_31194	332
Contig_31227	295
Contig_31276	300
Contig_31352	281
Contig_31364	277
Contig_31388	266
Contig_31412	329
Contig_31620	325
Contig_31700	326
Contig_31777	283
Contig_31799	282
Contig_31805	383
Contig_31873	290
Contig_31905	359
Contig_31952	317
Contig_32096	285
Contig_32195	291
Contig_32198	272
Contig_32211	285
Contig_32256	322
Contig_32263	323
Contig_32285	273
Contig_32385	315
Contig_32386	297
Contig_32460	309
Contig_32500	306
Contig_32519	277
Contig_32642	336
Contig_32648	276
Contig_32689	296
Contig_32696	283
Contig_32713	275
Contig_32750	259
Contig_32801	315
Contig_32815	296
Contig_32828	355
Contig_32866	316
Contig_32905	292
Contig_32915	285
Contig_32917	293
Contig_33082	287
Contig_33160	317
Contig_33200	317
Contig_33248	288
Contig_33314	285
Contig_33405	281
Contig_33546	320
Contig_33574	277
Contig_33583	301
Contig_33633	277
Contig_33698	308
Contig_33822	322
