COMP_SPECIES	START_LOCUS	END_LOCUS	NUM_LOCI	COMP_CHR	COMP_START	COMP_END	COMP_SIZE	MAP_LG	MAP_START	MAP_STOP	MAP_SIZE
gacu	Soc1072	Contig_6925	3	18	7061876	7150922	89046	17	65.74	65.74	0.00
gacu	Contig_24314	Contig_51690	2	18	7479017	7727744	248727	17	67.14	68.83	1.69
gacu	Contig_51257	Contig_305	2	14	10338891	10206075	132816	22	4.09	8.45	4.36
gacu	Contig_6646	Contig_1886	4	14	12620699	10699631	2255587	22	7.26	11.38	4.12
gacu	Contig_6405	Contig_35102	2	14	5423833	5081939	341894	22	23.59	27.66	4.07
gacu	Contig_23642	Contig_3575	3	14	5732615	6834424	1119265	22	34.77	41.16	6.39
gacu	Contig_61269	Contig_72963	3	14	1689110	2585030	895920	22	48.41	49.59	1.18
gacu	Lcr12	Contig_15939	2	14	1768693	2513208	744515	22	74.87	74.87	0.00
gacu	Contig_11316	Contig_7095	2	9	18404752	17835075	569677	1	1.35	4.19	2.84
gacu	Contig_4432	Soc1063	4	9	9725160	8329602	1433884	1	21.04	24.45	4.12
gacu	Contig_15357	Contig_8433	3	9	6555332	7264705	709373	1	29.65	29.96	0.31
gacu	Contig_13052	Soc1054	3	9	6074049	5031283	1042766	1	32.35	35.75	3.40
gacu	Contig_24605	Contig_35255	2	9	4505667	4652385	146718	1	35.75	37.22	1.47
gacu	Dla97	Contig_33862	3	9	14592449	12256176	2336273	1	58.02	75.03	17.01
gacu	Contig_14005	Soc430	3	9	10108336	10417987	344429	1	77.31	76.65	0.66
gacu	Contig_30461	Contig_24603	2	9	2798618	2538122	260496	1	78.58	79.84	1.26
gacu	Contig_34015	Contig_39819	2	9	11934128	11708195	225933	1	83.11	93.91	10.80
gacu	Contig_28406	Soc703	2	8	3717176	4100687	383511	18	5.09	6.38	1.29
gacu	Contig_34833	Soc567	2	8	3384951	3687830	302879	18	7.31	7.31	0.00
gacu	Contig_52548	Soc1022	5	8	18164022	13574673	4728307	18	16.28	51.14	34.86
gacu	Contig_78618	Contig_25308	2	8	12533725	12923807	390082	18	57.42	58.04	0.62
gacu	Contig_93619	Contig_326	2	8	10632646	9524609	1108037	18	59.70	64.54	4.84
gacu	Contig_62904	Contig_38804	3	8	8643329	9236340	616069	18	66.99	69.31	2.32
gacu	Contig_81929	Soc1127	3	8	442903	3050446	2607543	18	82.57	82.57	0.00
gacu	Mmi06	Contig_56840	2	3	14520665	14506565	14100	13	10.78	12.05	1.27
gacu	Contig_48834	Contig_3250	4	3	11141585	10879912	376346	13	15.73	26.92	11.19
gacu	Contig_104646	Contig_63899	2	3	14029114	14005241	23873	13	30.78	31.75	0.97
gacu	Contig_10041	Soc1095	7	3	6799232	7968608	1169376	13	51.86	57.46	6.01
gacu	Contig_63257	Contig_53258	2	3	8909411	8615893	293518	13	63.71	67.14	3.43
gacu	Soc507	Contig_31805	2	3	10398810	9899510	499300	13	72.85	74.99	2.14
gacu	Contig_66678	Contig_150	3	3	3013351	4146613	1133262	13	79.83	79.65	0.18
gacu	Contig_43908	Contig_41775	3	15	16194748	13638463	2556285	16	12.57	22.21	9.64
gacu	Contig_47606	Contig_167	6	15	4848136	6805497	1957361	16	53.06	59.06	6.00
gacu	Contig_19539	Contig_96382	4	15	9119966	9133702	267312	16	62.47	70.99	8.52
gacu	Contig_49213	Contig_66355	3	15	10029019	10853464	824445	16	76.73	83.30	6.57
gacu	Contig_21305	Contig_75761	2	15	10689684	10710915	21231	16	85.30	88.04	2.74
gacu	Contig_6230	Contig_99535	3	4	23797070	22199202	1722457	23	2.93	6.72	3.79
gacu	Contig_5987	Contig_8665	3	4	24265151	25753845	1488694	23	9.52	10.46	0.94
gacu	Soc527	Soc855	9	4	21290471	18839116	2703437	23	17.45	30.08	12.63
gacu	Contig_40908	Contig_8901	3	4	28491033	29710820	1219787	23	43.27	44.86	2.05
gacu	Soc1117	Contig_25345	2	4	29816128	30423530	607402	23	49.51	51.58	2.07
gacu	Contig_24687	Contig_4568	2	4	31475522	31377959	97563	23	52.84	58.24	5.40
gacu	Contig_36533	Contig_11650	2	20	2402423	2825284	422861	6	0.62	8.54	7.92
gacu	Contig_90362	Contig_28405	2	20	2735269	3310011	574742	6	16.68	16.68	0.00
gacu	Contig_74321	Contig_1062	3	20	7196095	7008674	626909	6	18.98	22.05	3.07
gacu	Contig_29679	Contig_12049	3	20	8395231	8458823	518043	6	24.57	26.24	1.68
gacu	Dla10	Contig_16536	4	20	9525117	10657523	1132406	6	28.48	32.61	4.13
gacu	Contig_12169	Soc777	4	20	12780671	11224474	1689759	6	35.82	52.98	17.16
gacu	Dla41	Contig_14304	2	20	14639438	15476952	837514	6	68.91	78.56	9.65
gacu	Soc1114	Dla68	2	7	2937287	1666670	1270617	3	0	30.15	30.15
gacu	Contig_1744	Soc640	5	7	4514767	4512526	646886	3	44.77	47.35	2.58
gacu	Contig_15427	Soc708	3	7	6184282	7848789	1664507	3	54.57	69.13	14.56
gacu	Contig_7672	Contig_37891	3	7	5066401	5596185	529784	3	75.89	75.89	0.00
gacu	Contig_36153	Contig_2674	7	6	16467976	11215796	5252180	9	10.15	31.31	21.16
gacu	Lcr03	Contig_17543	2	6	10001822	10388612	386790	9	38.63	38.63	0.00
gacu	Contig_31412	Contig_30988	6	6	9140824	6416508	2758617	9	42.32	50.16	7.84
gacu	Contig_93840	Contig_64606	3	6	5282064	2096711	3514537	9	65.42	67.63	2.21
gacu	Contig_9460	Contig_77943	3	2	19401023	20388609	987586	12	26.23	27.00	0.77
gacu	Soc1048	Contig_11657	5	2	5737440	6257310	524520	12	39.15	48.29	9.14
gacu	Contig_88910	Soc429	3	2	18014265	16973742	1040523	12	56.35	59.02	2.67
gacu	Contig_38120	Soc718	3	2	16667859	15706749	961110	12	59.80	62.25	2.45
gacu	Contig_8327	Contig_18991	3	2	13660249	14132550	472301	12	69.78	69.78	0.00
gacu	Soc1082	Contig_25827	4	2	13521860	13423299	818082	12	74.64	75.91	1.88
gacu	Contig_8602	Contig_21092	2	2	1995598	2029750	34152	12	91.89	93.16	1.27
gacu	Contig_7484	Contig_28605	2	2	9989358	8856518	1132840	12	98.24	99.34	1.10
gacu	Contig_26858	Dla79	4	5	4490379	3502041	988338	15	9.84	21.07	11.23
gacu	Contig_14976	Contig_1788	3	5	2518513	3134250	615737	15	23.27	29.62	6.35
gacu	Contig_52224	Dla59	2	5	449211	1289020	839809	15	33.30	33.41	0.11
gacu	Contig_15127	Contig_4024	2	5	8140249	8206996	66747	15	33.30	33.30	0.00
gacu	Contig_26681	Contig_57321	2	5	10216311	10404090	187779	15	52.16	53.96	1.80
gacu	Contig_32198	Contig_8081	3	5	11283147	11644007	360860	15	54.08	54.31	0.23
gacu	Contig_466	Contig_6681	2	10	15454512	14728802	725710	14	1.69	8.14	6.45
gacu	Contig_45920	Dla16	3	10	1170415	1230006	59591	14	10.03	10.74	0.71
gacu	Contig_57092	Soc645	9	10	13182448	7856202	5572000	14	33.69	66.86	33.17
gacu	Contig_34907	Contig_24879	2	10	6313994	5332124	981870	14	72.74	73.56	0.82
gacu	Contig_27026	Contig_51792	2	10	6988066	7155910	167844	14	73.56	73.56	0.00
gacu	Contig_11670	Contig_5976	2	10	3376552	5198941	1822389	14	75.17	76.77	1.60
gacu	Soc1133	Soc1134	2	10	3471097	3471097	0	14	78.91	81.60	2.69
gacu	Contig_34611	Contig_50092	2	7	19862254	19127164	735090	20	0.31	0.62	0.31
gacu	Contig_30476	Contig_7678	3	7	21435753	20964846	661681	20	3.41	5.13	1.72
gacu	Contig_19215	Contig_38207	2	7	21794450	23411224	1616774	20	7.15	7.15	0.00
gacu	Soc979	Contig_64508	7	7	21561180	27842567	6289422	20	12.51	45.53	33.03
gacu	Contig_5080	Contig_32385	2	7	15450773	14295243	1155530	20	55.36	61.06	5.70
gacu	Contig_8952	Contig_8141	2	7	12255577	13610579	1355002	20	69.63	69.63	0.00
gacu	Dla72	Contig_23708	2	7	12348844	12007916	340928	20	72.52	73.78	1.26
gacu	Contig_2626	Contig_17726	4	4	6393883	5651918	793900	8	21.42	28.14	6.72
gacu	Contig_9476	Contig_39212	8	4	10183718	15150437	5161479	8	36.64	60.89	24.25
gacu	Contig_31227	Contig_8903	3	4	16496913	17731442	1270515	8	69.43	71.98	2.55
gacu	Soc576	Contig_35183	2	4	4956525	4796131	160394	8	87.75	89.00	1.25
gacu	Contig_22073	Soc551	2	11	2498357	2982599	484242	4	6.64	8.07	1.43
gacu	Contig_40979	Contig_3343	3	11	1999794	202488	1797306	4	13.48	20.96	7.48
gacu	Contig_7066	Contig_105085	4	11	7310059	6389361	1115829	4	22.22	27.11	4.89
gacu	Contig_24591	Contig_21471	2	11	8647074	8848655	201581	4	32.27	33.54	1.27
gacu	Contig_34607	Contig_63165	2	11	9947333	9307537	639796	4	34.44	36.70	2.26
gacu	Contig_12011	Contig_52477	3	11	10012985	10754895	741910	4	40.00	41.97	1.97
gacu	Contig_28764	Soc891	2	11	12093646	12241965	148319	4	57.58	57.58	0.00
gacu	Soc1152	Contig_48824	4	11	5398532	3509158	1889374	4	66.48	78.29	11.81
gacu	Contig_772	Soc796	3	11	15186674	15859810	673136	4	87.32	89.53	2.21
gacu	Mmi04	Contig_9254	4	19	1822037	5899727	4077690	24	15.81	26.60	10.79
gacu	Contig_146	Contig_9872	2	19	6872461	6299710	572751	24	34.96	37.37	2.41
gacu	Soc1092	Contig_4059	2	19	16157223	16785516	628293	24	48.76	51.39	2.63
gacu	Contig_86884	Contig_22317	3	19	15327827	13130307	2197520	24	61.28	67.22	5.94
gacu	Contig_1141	Contig_1310	5	19	9415131	8578342	1381861	24	73.65	81.27	7.62
gacu	Contig_23868	Soc423	4	17	9750721	9856307	368073	10	7.77	10.77	3.00
gacu	Dla96	Contig_8535	2	17	13835151	14445172	610021	10	11.59	13.36	1.77
gacu	Soc1065	Contig_4294	8	17	9557519	6646871	3152723	10	14.77	27.52	12.75
gacu	Contig_33698	Contig_29474	4	17	3814023	5499023	1708054	10	34.38	41.82	7.44
gacu	Contig_63606	Mmi10	2	17	213641	1132264	918623	10	84.79	85.42	0.63
gacu	Soc659	Contig_24694	3	13	15947177	15848729	243114	19	9.07	13.48	4.41
gacu	Contig_29539	Soc897	4	13	19305627	18769546	536081	19	14.75	17.27	2.52
gacu	Dla71	Contig_41232	3	13	5415518	5538814	123296	19	27.26	29.17	1.91
gacu	Soc1025	Soc1051	2	13	1743653	1834713	91060	19	32.01	32.32	0.31
gacu	Contig_18995	Soc684	3	13	6203418	6841992	927415	19	39.55	54.18	14.63
gacu	Contig_57705	Contig_89815	2	13	11145836	11479926	334090	19	72.50	72.50	0.00
gacu	Contig_100848	Contig_91727	5	13	11570802	12347265	1052304	19	74.62	78.51	3.89
gacu	Soc887	Contig_367	3	13	13901306	12575553	1325753	19	81.34	85.23	3.89
gacu	Contig_49881	Contig_26057	2	1	13198697	11410025	1788672	5	7.48	8.46	0.98
gacu	Soc949	Soc418	2	1	10444908	9735547	709361	5	10.33	10.96	0.63
gacu	Contig_51758	Contig_14220	4	1	6726598	3082408	3644190	5	20.94	42.60	21.66
gacu	Contig_15433	Contig_42933	2	1	16545459	15990196	555263	5	58.45	74.60	16.15
gacu	Contig_80192	Contig_10565	2	1	18888726	17765348	1123378	5	75.69	77.12	1.43
lcal	Contig_4979	Contig_5468	2	1	7173088	7427774	254686	11	5.18	6.00	0.82
lcal	Soc548	Contig_10552	3	1	23410721	23115629	295092	11	10.54	15.89	5.35
lcal	Contig_86192	Contig_1236	2	1	24460611	25064270	603659	11	22.82	25.31	2.49
lcal	Contig_8571	Contig_3268	4	1	8263591	7951649	487016	11	25.05	26.29	1.24
lcal	Contig_38218	Soc1141	3	1	13165152	12921347	243805	11	36.35	37.37	1.02
lcal	Contig_15850	Soc1090	3	1	13617779	14036097	753126	11	38.64	41.03	2.39
lcal	Contig_97595	Contig_13624	2	1	19457854	19838291	380437	11	43.32	46.71	3.39
lcal	Contig_1918	Contig_26746	2	1	17829460	18331743	502283	11	47.37	51.25	3.88
lcal	Soc565	Soc693	2	1	22480113	21029013	1451100	11	68.42	70.95	2.53
lcal	Contig_2467	Soc648	2	1	771731	933986	162255	11	72.88	73.50	0.62
lcal	Soc1073	Contig_3312	5	6	1495429	4131397	2635968	21	3.69	4.31	0.62
lcal	Contig_88700	Contig_7495	2	6	6628384	5051473	1576911	21	3.69	12.45	8.76
lcal	Lcr04	Soc1052	3	6	7010015	9044207	2034192	21	12.45	19.80	7.35
lcal	Contig_24667	Soc1037	2	6	11257168	10281107	976061	21	19.80	22.99	3.19
lcal	Contig_39603	Soc832	4	6	11030394	13382683	2352289	21	24.70	44.35	19.65
lcal	Contig_1122	Soc1016	2	6	14806208	14103831	702377	21	44.35	46.80	2.45
lcal	Contig_41568	Contig_50528	5	6	19347225	18326108	1533153	21	50.90	59.39	8.49
lcal	Contig_10874	Contig_2519	3	6	22852833	23346555	493722	21	67.26	67.26	0.00
lcal	Contig_13434	Contig_48161	4	6	23893408	23975833	583895	21	68.53	78.11	9.58
lcal	Contig_8325	Contig_71936	4	6	24958157	25443935	485778	21	80.67	81.38	0.92
lcal	Soc642	Contig_6605	2	6	26072784	26898733	825949	21	89.33	91.93	2.60
lcal	Contig_49244	Contig_41834	2	24	3089077	4239681	1150604	7	0	3.31	3.31
lcal	Contig_7443	Soc792	3	24	5194546	5091433	537093	7	4.35	5.05	0.70
lcal	Dla44	Contig_7139	2	24	2027641	2798214	770573	7	6.48	6.48	0.00
lcal	Soc724	Contig_775	2	24	4220352	4194709	25643	7	6.48	6.48	0.00
lcal	Dla43	Contig_34000	2	24	571202	1818978	1247776	7	7.22	7.14	0.08
lcal	Soc826	Contig_62783	2	24	8106417	7775915	330502	7	15.15	18.00	2.85
lcal	Soc786	Contig_20392	10	24	8294733	11529324	3395915	7	18.00	35.99	17.99
lcal	Contig_24723	Contig_30176	2	24	12141948	12426392	284444	7	40.30	41.43	1.13
lcal	Contig_12913	Contig_30032	3	24	13173702	12988007	185695	7	44.04	48.91	4.87
lcal	Soc1099	Soc1098	2	24	14659928	14659928	0	7	54.86	56.46	1.60
lcal	Contig_32905	Soc1154	3	24	16405648	16704946	299298	7	56.46	56.46	0.00
lcal	Contig_39806	Contig_45543	3	24	14765670	15263291	497621	7	58.93	62.81	3.88
lcal	Contig_3269	Contig_22414	2	24	18446384	18402761	43623	7	68.80	68.80	0.00
lcal	Contig_47513	Contig_6874	2	24	16796684	17391286	594602	7	69.15	70.13	0.98
lcal	Contig_11817	Contig_2038	2	24	19101849	19101557	292	7	73.15	74.88	1.73
lcal	Soc726	Dla53	2	24	19591582	19327851	263731	7	77.37	80.77	3.40
lcal	Contig_52215	Soc1046	2	7_2	11057400	11355822	298422	2	28.59	31.54	2.95
lcal	Contig_64591	Contig_10030	2	7_2	9508320	9690535	182215	2	37.34	37.34	0.00
lcal	Contig_38410	Contig_8822	4	7_2	7901480	8514490	613010	2	39.94	39.94	0.00
lcal	Contig_13020	Contig_80464	2	7_2	2065402	1587423	477979	2	44.57	47.13	2.56
lcal	Contig_46769	Contig_22266	2	7_2	3621578	4083239	461661	2	59.53	59.53	0.00
lcal	Contig_17279	Contig_27597	3	7_2	4285491	4188831	168424	2	72.23	73.49	1.26
lcal	Contig_36009	Contig_87726	3	7_1	21908522	20734430	1174092	17	4.07	5.56	1.49
lcal	Contig_151	Contig_59286	2	7_1	17918806	18522249	603443	17	8.78	10.22	1.44
lcal	Contig_33873	Contig_36718	4	7_1	16396080	16612581	391123	17	17.95	23.95	6.00
lcal	Lcr08	Soc880	6	7_1	15064607	13290929	1773678	17	23.97	42.17	18.20
lcal	Contig_56723	Soc810	2	7_1	12305803	11489172	816631	17	46.43	48.64	2.21
lcal	Contig_3031	Contig_17415	3	7_1	10601985	11367044	765059	17	51.81	51.81	0.00
lcal	Soc1124	Contig_57461	2	7_1	10681679	11307115	625436	17	54.38	57.91	3.53
lcal	Contig_3903	Contig_911	3	7_1	8869826	9526021	656195	17	59.23	60.01	1.42
lcal	Contig_1905	Dla89	2	7_1	4420943	5129380	708437	17	61.00	61.16	0.16
lcal	Contig_13196	Soc731	2	7_1	5466862	5552702	85840	17	65.74	65.74	0.00
lcal	Soc1072	Contig_6925	2	7_1	6408491	6541599	133108	17	65.74	65.74	0.00
lcal	Contig_24314	Contig_51690	2	7_1	6999228	7336559	337331	17	67.14	68.83	1.69
lcal	Contig_39896	Contig_3199	2	7_1	1076577	1602982	526405	17	81.95	83.22	1.27
lcal	Contig_23235	Contig_305	4	9	2162114	2530445	547103	22	4.09	8.45	4.39
lcal	Contig_6646	Contig_72831	3	9	5442958	5473018	215789	22	7.26	8.00	0.74
lcal	Contig_19620	Contig_1886	3	9	2735988	3136659	984392	22	9.99	11.38	1.68
lcal	Contig_6405	Contig_35102	2	9	11814016	12294514	480498	22	23.59	27.66	4.07
lcal	Contig_23642	Soc658	4	9	11365646	11387268	484118	22	34.77	36.21	1.74
lcal	Contig_3575	Soc657	4	9	10004417	9470276	534141	22	41.16	44.71	3.55
lcal	Contig_61269	Contig_72963	3	9	17264783	15808326	1456457	22	48.41	49.59	1.18
lcal	Contig_37162	Soc656	2	9	1230540	701345	529195	22	68.46	73.57	5.11
lcal	Lcr12	Contig_44164	2	9	17778988	17293634	485354	22	74.87	76.17	1.30
lcal	Contig_12764	Soc653	2	5	17155884	18080452	924568	1	0	4.50	4.50
lcal	Contig_7095	Soc1063	8	5	16922935	12445449	4477486	1	4.19	24.45	20.26
lcal	Contig_72280	Contig_10411	5	5	6255861	7498856	1269557	1	24.78	29.96	5.18
lcal	Contig_56045	Soc400	3	5	7547517	9176034	1628517	1	31.09	33.62	2.53
lcal	Soc509	Soc1054	2	5	9307775	9518548	210773	1	35.75	35.75	0.00
lcal	Contig_35255	Contig_65238	4	5	5935275	2123288	3811987	1	37.22	52.85	15.63
lcal	Contig_1630	Contig_39876	2	5	19562083	19513914	48169	1	55.51	60.09	4.58
lcal	Dla97	Contig_1911	3	5	21736941	21239692	1193131	1	58.02	60.09	2.07
lcal	Contig_40846	Contig_12766	2	5	22113609	22458145	344536	1	63.30	65.55	2.25
lcal	Contig_33862	Contig_29953	5	5	25769169	27400828	1631659	1	75.03	77.94	2.91
lcal	Soc1085	Contig_24603	3	5	28475871	27868265	607606	1	77.31	79.84	2.53
lcal	Contig_34015	Contig_39819	2	5	25258905	24985607	273298	1	83.11	93.91	10.80
lcal	Contig_14829	Contig_48749	3	17	5727360	6300579	573219	18	2.74	4.52	1.78
lcal	Soc703	Contig_106699	3	17	26479903	26991639	511736	18	6.38	5.76	0.62
lcal	Contig_3776	Soc567	3	17	23880819	25791795	1910976	18	7.31	7.31	0.00
lcal	Contig_2075	Contig_35477	4	17	7330093	6790501	539592	18	8.57	11.88	3.31
lcal	Contig_52548	Contig_5761	4	17	5451049	5368820	425371	18	16.28	21.73	5.45
lcal	Contig_46859	Contig_38502	2	17	8426330	8144539	281791	18	35.58	36.80	1.22
lcal	Soc661	Contig_78618	7	17	10240247	14322882	4082635	18	41.46	57.42	16.58
lcal	Contig_44732	Contig_93619	3	17	16134077	16845694	711617	18	59.70	59.70	0.00
lcal	Contig_26837	Contig_38804	4	17	19714551	18940636	799773	18	66.99	69.31	2.32
lcal	Contig_24552	Contig_44761	3	17	20453332	21420224	966892	18	72.40	74.28	1.88
lcal	Soc581	Soc424	2	17	23361925	23207910	154015	18	75.54	76.25	0.71
lcal	Soc1127	Soc821	2	17	3931637	3838392	93245	18	82.57	82.57	0.00
lcal	Contig_56923	Contig_94624	2	4	1989275	2930710	941435	13	0.76	2.87	2.11
lcal	Contig_16461	Soc713	4	4	2950247	3577952	627705	13	9.53	12.05	2.52
lcal	Contig_7266	Contig_3250	2	4	6295591	5750790	544801	13	22.40	26.92	4.52
lcal	Contig_2419	Contig_53258	20	4	8809386	16573632	8183994	13	30.78	67.14	36.36
lcal	Contig_15868	Soc507	2	4	18552980	19053978	500998	13	71.01	72.85	1.84
lcal	Contig_88237	Contig_33200	10	4	19134236	22346217	3211981	13	77.14	80.27	3.13
lcal	Contig_64456	Soc1047	3	4	23786220	25130265	1374634	13	80.27	80.27	0.00
lcal	Soc1156	Contig_43908	4	19	1132186	3152312	2020126	16	4.99	12.57	7.58
lcal	Contig_16651	Contig_22079	2	19	7277751	7072634	205117	16	28.06	32.67	4.61
lcal	Soc888	Dla84	2	19	8849131	8864261	15130	16	32.67	32.67	0.00
lcal	Contig_18654	Soc647	9	19	9482713	11219698	1970528	16	40.42	53.76	13.34
lcal	Dla60	Contig_12351	4	19	11686101	12670039	983938	16	55.87	55.87	0.70
lcal	Contig_6436	Contig_167	3	19	13691426	13292470	1021695	16	55.87	59.06	3.19
lcal	Soc1067	Contig_7218	6	19	14515928	17289165	2773237	16	63.84	76.16	12.32
lcal	Contig_93882	Contig_49213	3	19	17553867	17368918	184949	16	76.16	76.73	0.57
lcal	Contig_3074	Contig_21305	4	19	18078225	18167208	296299	16	82.03	85.30	3.27
lcal	Contig_30701	Soc550	3	19	19784970	20522280	781384	16	86.01	88.04	2.03
lcal	Soc609	Soc994	3	19	21805787	21404218	401569	16	91.19	92.58	1.39
lcal	Contig_18025	Contig_99535	2	18	13984196	14692239	708043	23	4.06	6.72	2.66
lcal	Contig_8665	Contig_40403	3	18	15259480	16046169	786689	23	10.46	10.46	0.00
lcal	Soc1012	Contig_9479	2	18	17557694	17219935	337759	23	10.46	12.01	1.55
lcal	Contig_26817	Contig_32828	3	18	4197580	4669042	471462	23	18.17	18.88	1.43
lcal	Soc521	Contig_18314	8	18	4080635	1980018	2100711	23	19.60	30.08	10.48
lcal	Contig_40908	Contig_8901	6	18	5413043	6997563	1584520	23	43.27	44.86	2.05
lcal	Soc1117	Contig_25345	2	18	7154560	7987144	832584	23	49.51	51.58	2.07
lcal	Contig_13755	Contig_4568	3	18	9387573	9268680	314049	23	53.70	58.24	5.40
lcal	Lcr01	Contig_10356	4	18	11563623	11982885	419262	23	60.30	69.53	9.23
lcal	Contig_28881	Contig_72330	3	18	12786907	13619919	833012	23	70.16	72.67	2.51
lcal	Contig_36533	Soc583	2	15	16024686	15517521	507165	6	0.62	2.34	1.72
lcal	Contig_28405	Contig_90362	2	15	29803966	30499576	695610	6	16.68	16.68	0.00
lcal	Contig_33248	Contig_1875	3	15	26960262	27018294	328783	6	17.00	18.92	1.92
lcal	Contig_6637	Contig_1062	2	15	25747082	25227712	519370	6	20.47	22.05	1.58
lcal	Contig_93038	Contig_12049	3	15	22818197	23288900	539857	6	24.56	26.24	1.68
lcal	Dla10	Soc412	4	15	22094466	21374998	824099	6	28.48	31.18	2.70
lcal	Contig_16536	Contig_39564	4	15	12633106	12121388	1173261	6	32.61	42.13	9.52
lcal	Soc568	Contig_28213	2	15	10831898	9869541	962357	6	40.62	48.55	7.93
lcal	Contig_61880	Soc777	3	15	8765159	9551494	786335	6	50.59	52.98	2.77
lcal	Contig_76926	Contig_50499	2	15	8294836	7624938	669898	6	52.63	55.97	3.34
lcal	Soc704	Contig_7193	2	15	7321829	7004507	317322	6	56.53	58.57	2.04
lcal	Contig_70686	Contig_9054	2	15	6993684	6881889	111795	6	59.93	60.88	0.95
lcal	Dla41	Contig_64605	2	15	3755044	3761341	6297	6	68.91	70.12	1.21
lcal	Contig_4235	Contig_32096	2	15	1860870	2305112	444242	6	71.77	71.77	0.00
lcal	Soc570	Soc709	2	15	681591	178494	503097	6	82.00	84.12	2.12
lcal	Contig_59130	Contig_22201	2	14	10965850	11609186	643336	3	12.13	17.38	5.25
lcal	Contig_30753	Contig_36884	2	14	7750659	7781734	31075	3	41.35	42.02	0.67
lcal	Contig_6456	Contig_1744	4	14	8818026	9764366	946340	3	45.47	44.77	0.70
lcal	Contig_27075	Contig_10306	2	14	8265964	8485336	219372	3	46.10	46.10	0.00
lcal	Contig_18443	Contig_51691	5	15	21072472	18540263	2532209	3	49.52	66.09	16.57
lcal	Soc708	Contig_4628	5	14	5930454	5324919	605535	3	69.13	71.37	2.24
lcal	Contig_7672	Contig_6325	2	14	10311535	10385883	74348	3	75.89	75.89	0.00
lcal	Dla87	Contig_59013	3	14	4077882	4538536	744988	3	79.30	80.35	1.05
lcal	Contig_23132	Contig_32642	3	14	2197928	2052415	340792	3	80.71	83.54	2.83
lcal	Contig_9212	Contig_7080	3	14	1517180	927862	589318	3	84.20	92.21	8.01
lcal	Soc563	Contig_106791	3	16-22	16338288	15079940	1258348	9	9.19	13.77	4.58
lcal	Contig_3632	Contig_11906	3	16-22	16218543	18142862	1961885	9	15.02	16.94	1.92
lcal	Dla69	Contig_2674	6	16-22	14610473	11021377	3589096	9	18.81	31.31	12.50
lcal	Soc562	Contig_17543	4	16-22	9523941	10082101	630742	9	37.64	38.63	0.99
lcal	Contig_31412	Contig_76354	4	16-22	8557552	6647860	1956177	9	42.32	45.68	3.36
