locus,map_chr,map_prop,map_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,onil_chr,onil_prop,onil_pos,dlab_chr,dlab_prop,dlab_pos,
Contig_20298,11,0.360,26.95,,,,1,0.376,9655179,,,,,,,16,0.900,31402320,15,0.199,5080694,
Contig_10898,10,0.485,43.51,,,,20,0.088,2090859,,,,,,,5,0.746,27881765,1A,0.647,18788928,
Contig_8360,21,0.309,30.77,12,0.532,9789330,6,0.421,11747012,3,0.444,5810001,,,,20,0.866,27255947,22-25,0.542,14318806,
Soc902,5,0.792,64.10,,,,,,,,,,,,,,,,13,0.196,5404984,
Contig_13270,19,0.918,85.23,13,0.700,14061882,13,0.613,16696253,,,,,,,,,,20,0.047,1348019,
Contig_43723,12,0.216,22.22,,,,,,,,,,,,,,,,,,,
Contig_41386,15,0.695,58.52,,,,23,0.230,4175524,1,0.290,6736063,2,0.276,5965068,8,0.311,9146631,1B,0.181,3258611,
Soc400,1,0.358,33.62,9,0.261,5279374,5,0.317,9176034,17,0.591,6604850,18,0.818,9060553,,,,7,0.859,24459835,
Contig_27060,12,0.030,3.04,,,,,,,,,,,,,,,,,,,
Contig_37587,7,0.545,44.04,,,,,,,,,,,,,,,,18-21,0.625,10276490,
Contig_343,3,0.456,42.02,,,,,,,,,,,,,,,,,,,
Contig_15427,3,0.592,54.57,7,0.221,6184282,15,0.646,19893248,,,,,,,3,0.452,8728015,,,,
Contig_1436,16,0.103,10.45,,,,,,,,,,,,,,,,,,,
Contig_12599,14,0.515,44.44,,,,3,0.259,6077703,,,,,,,22,0.971,25651255,9,0.365,8155516,
Contig_1560,14,0.311,26.89,,,,,,,,,,,,,,,,,,,
Contig_48437,1,0.640,60.09,9,0.672,13605233,5,0.709,20543810,,,,,,,6,0.635,23328758,7,0.422,12009564,
Contig_18991,12,0.680,69.78,2,0.607,14132550,2,0.852,25882328,13,0.275,4658181,5,0.245,3282814,1,0.542,16902415,5,0.305,9943161,
Contig_12632,15,0.344,29.00,,,,,,,,,,,,,,,,1B,0.702,12630363,
Contig_21558,13,0.212,17.47,,,,,,,,,,,,,,,,,,,
Contig_24826,14,0.203,17.49,,,,3,0.894,21011592,,,,,,,,,,9,0.037,836610,
Contig_86884,24,0.731,61.28,19,0.757,15327827,,,,,,,,,,7,0.842,42993998,6,0.278,7836249,
Contig_3960,24,0.298,24.95,,,,10,0.255,7123267,,,,,,,,,,6,0.588,16583749,
Contig_11650,6,0.094,8.54,20,0.143,2825284,15,0.988,30403862,7,0.399,5714403,8,0.120,1261781,11,0.245,8187221,16,0.788,20347061,
Contig_7670,18,0.079,6.73,,,,17,0.934,25836513,,,,,,,,,,4,0.089,2462779,
Contig_31157,13,0.645,53.12,,,,,,,,,,,,,,,,,,,
Contig_5952,8,0.884,81.47,,,,,,,,,,,,,,,,,,,
Contig_41837,1,0.640,60.09,,,,,,,,,,,,,,,,,,,
Contig_26858,15,0.117,9.84,5,0.367,4490379,23,0.857,15576217,,,,,,,8,0.883,25996796,1B,0.846,15215440,
Contig_28816,10,0.817,73.33,,,,,,,,,,,,,,,,,,,
Soc806,8,0.002,0.17,,,,,,,,,,,,,,,,,,,
Contig_486,18,0.086,7.31,,,,,,,,,,,,,,,,,,,
Contig_6173,18,0.033,2.77,,,,,,,,,,,,,,,,4,0.001,39241,
Contig_4628,3,0.774,71.37,,,,14,0.378,5324919,,,,,,,,,,3,0.397,5346602,
Contig_61930,15,0.113,9.52,,,,23,0.841,15287259,,,,2,0.070,1510984,8,0.895,26350741,1B,0.828,14901793,
Contig_8672,12,0.868,89.16,,,,,,,,,,,,,,,,5,0.487,15868364,
Contig_4301,11,0.122,9.11,,,,,,,,,,,,,,,,,,,
Contig_9035,23,0.952,70.47,,,,,,,,,,,,,,,,,,,
Contig_10967,17,0.938,79.96,,,,,,,,,,,,,,,,,,,
Soc418,5,0.135,10.96,1,0.345,9735547,21,0.454,13013854,,,,,,,14,0.557,19040553,13,0.656,18114696,
Contig_91370,5,0.658,53.28,3,0.486,8168773,,,,22,0.738,8562331,,,,,,,,,,
Soc1087,10,0.795,71.41,,,,12,0.763,21241958,19,0.278,3944831,11,0.652,7793364,5,0.462,17282577,1A,0.515,14964910,
Soc704,6,0.619,56.53,,,,15,0.238,7321829,7,0.055,788427,,,,11,0.678,22686277,16,0.199,5142466,
Contig_1900,13,0.396,32.63,,,,4,0.401,10249983,,,,,,,,,,10,0.619,14887373,
Contig_16159,22,0.949,77.24,,,,9,0.009,204773,6,0.732,6888274,4,0.320,3158610,7,0.709,36203366,,,,
Contig_26185,5,0.651,52.66,,,,,,,,,,,,,,,,,,,
Contig_6281,15,0.605,50.91,,,,23,0.416,7555502,,,,,,,,,,1B,0.304,5470371,
Dla97,1,0.618,58.02,9,0.721,14592449,5,0.750,21736941,17,0.173,1930161,,,,6,0.677,24856540,7,0.379,10780104,
Contig_43170,20,0.270,24.15,,,,20,0.692,16446286,,,,7,0.751,8777088,,,,14,0.773,21956627,
Contig_27134,19,0.832,77.30,13,0.628,12616766,13,0.551,15011351,,,,,,,12,0.305,10574226,20,0.115,3270454,
Contig_19571,16,0.716,72.40,,,,,,,,,,,,,,,,,,,
Contig_28025,12,0.496,50.89,,,,,,,,,,,,,,,,,,,
Contig_29503,10,0.454,40.76,,,,,,,,,,,,,,,,1A,0.712,20667371,
Contig_28605,12,0.968,99.34,2,0.380,8856518,2,0.108,3283266,13,0.821,13916554,5,0.554,7421738,1,0.294,9156036,5,0.521,17002409,
Contig_19205,3,0.764,70.42,15,0.085,1376145,14,0.399,5608839,,,,10,0.925,12277653,,,,,,,
Contig_19384,21,0.504,50.31,,,,6,0.562,15689661,3,0.582,7625078,,,,20,0.736,23161008,22-25,0.396,10466732,
Soc835,12,0.519,53.31,,,,,,,,,,,,,,,,,,,
Soc405,7,0.354,28.56,,,,24,0.590,11690648,,,,,,,,,,,,,
Contig_34845,21,0.615,61.32,,,,,,,,,,9,0.767,8098693,20,0.323,10156835,22-25,0.220,5807233,
Contig_24603,1,0.850,79.84,9,0.125,2538122,5,0.962,27868265,,,,,,,6,0.929,34117324,7,0.158,4497519,
Soc807,21,0.182,18.16,,,,,,,,,,,,,,,,,,,
Dla90,23,0.392,29.02,4,0.583,19037638,18,0.106,2026448,18,0.831,6691891,,,,17,0.808,25647922,x,0.495,8809053,
Contig_62510,4,0.308,28.86,11,0.337,5624514,11,0.246,5739720,,,,,,,4,0.686,19661514,8,0.561,12933024,
Soc525,9,0.883,73.39,,,,,,,,,,,,,,,,11,0.039,1009729,
Soc569,19,0.664,61.71,13,0.375,7540755,13,0.322,8776649,21,0.562,8379183,5,0.643,8611515,12,0.521,18058569,20,0.342,9721218,
Soc646,5,0.348,28.19,,,,,,,,,,,,,14,0.259,8839347,,,,
Dla28,15,0.645,54.31,5,0.940,11517100,23,0.356,6473009,1,0.311,7227671,2,0.300,6474586,8,0.338,9967576,1B,0.241,4339298,
Contig_45430,8,0.760,70.05,,,,,,,,,,,,,,,,2,0.601,15761062,
Soc1027,17,0.440,37.51,18,0.963,15675363,7_1,0.591,13755019,16,0.498,5136775,,,,15,0.728,19420011,17,0.404,9247898,
Contig_28977,7,0.971,78.43,,,,24,0.921,18255313,,,,,,,,,,18-21,0.941,15477699,
Soc967,14,0.735,63.50,,,,,,,,,,,,,,,,,,,
Contig_78,16,0.000,0,,,,19,0.994,24374746,,,,,,,,,,,,,
Soc1142,8,0.079,7.29,,,,,,,,,,,,,5,0.885,33090052,2,0.011,296525,
Contig_11925,22,0.140,11.38,,,,,,,,,,,,,,,,,,,
Contig_17462,1,0.870,81.73,,,,,,,,,,,,,,,,5,0.078,2552297,
Soc1093,23,0.964,71.41,,,,,,,,,,,,,,,,,,,
Soc612,13,0.937,77.14,,,,,,,,,,,,,,,,,,,
Soc656,22,0.904,73.57,,,,9,0.031,701345,,,,,,,7,0.172,8782590,19,0.184,4277444,
Soc1058,24,0.227,19.04,19,0.110,2217580,10,0.798,22303586,,,,,,,7,0.143,7306039,6,0.068,1904519,
Contig_30163,4,0.289,27.11,11,0.371,6194230,11,0.216,5027432,5,0.839,10218104,3,0.865,13394091,4,0.713,20452083,8,0.692,15956816,
Contig_5468,11,0.080,6.00,,,,1,0.289,7427774,,,,,,,,,,,,,
Soc951,6,0.179,16.37,,,,,,,,,,,,,,,,,,,
Contig_106791,9,0.166,13.77,,,,16-22,0.583,15079940,,,,,,,,,,11,0.653,17109117,
Soc686,10,0.419,37.60,,,,12,0.976,27187075,,,,,,,,,,1A,0.751,21800662,
Contig_60838,7,0.000,0,2,0.513,11951207,,,,,,,,,,1,0.438,13654062,,,,
Contig_1395,2,0.713,59.98,1,0.984,27730009,7_2,0.084,1163434,8,0.443,6500783,2,0.710,15332831,16,0.543,18956905,,,,
Contig_13755,23,0.725,53.70,,,,18,0.489,9387573,,,,,,,,,,x,0.771,13700510,
Contig_18350,10,0.129,11.59,,,,,,,,,,,,,,,,,,,
Soc926,13,0.505,41.63,,,,,,,,,,,,,,,,,,,
Contig_6605,21,0.922,91.93,,,,6,0.963,26898733,,,,,,,,,,,,,
Contig_28882,18,0.140,11.88,8,0.235,4555077,17,0.938,25970850,,,,,,,4,0.102,2928003,4,0.050,1390867,
Contig_1122,21,0.445,44.35,12,0.662,12177411,6,0.530,14806208,,,,,,,,,,22-25,0.429,11352288,
Soc973,24,0.027,2.28,,,,,,,,,,,,,,,,,,,
Contig_12169,6,0.392,35.82,20,0.648,12780671,15,0.372,11459845,,,,8,0.851,8945241,11,0.477,15967402,16,0.356,9188369,
Contig_18314,23,0.406,30.08,,,,18,0.103,1980018,,,,,,,,,,x,0.498,8859551,
Contig_345,21,0.024,2.42,,,,,,,,,,,,,,,,22-25,0.912,24119375,
Contig_3312,21,0.043,4.31,12,0.169,3117654,6,0.148,4131397,8,0.686,10075722,,,,20,0.632,19895081,22-25,0.842,22256826,
Soc664,24,0.896,75.06,,,,,,,,,,,,,,,,6,0.031,867865,
Contig_54081,2,0.927,77.93,,,,7_2,0.024,329665,8,0.484,7105269,3,0.071,1105772,,,,,,,
Contig_18086,9,0.946,78.60,,,,16-22,0.856,22132894,,,,,,,,,,11,0.926,24264001,
Soc562,9,0.453,37.64,,,,16-22,0.368,9523941,4,0.716,9888605,17,0.505,6132028,13,0.636,20837687,11,0.440,11527622,
Contig_80464,2,0.561,47.13,,,,7_2,0.114,1587423,,,,,,,,,,24,0.052,726203,
Contig_32866,22,0.369,30.01,,,,,,,,,,,,,,,,,,,
Contig_27565,21,0.171,17.02,12,0.407,7490677,6,0.320,8923621,3,0.310,4064596,9,0.095,999276,20,0.964,30326730,22-25,0.647,17105234,
Contig_1788,15,0.352,29.62,5,0.256,3134250,23,0.294,5334661,,,,,,,,,,1B,0.736,13244483,
Contig_6709,19,0.220,20.39,,,,,,,,,,,,,,,,20,0.731,20771297,
Contig_30476,20,0.038,3.41,7,0.767,21435753,,,,,,,,,,,,,,,,
Contig_50092,20,0.007,0.62,7,0.685,19127164,20,0.842,20001044,15,0.588,6772836,7,0.711,8319794,,,,14,0.640,18158797,
Contig_15993,15,0.887,74.67,,,,,,,,,,,,,,,,,,,
Contig_4388,8,0.397,36.64,,,,,,,,,,,,,,,,,,,
Contig_63124,16,0.504,50.92,,,,19,0.393,9641566,2,0.732,8348942,10,0.331,4395634,,,,12,0.400,9289549,
Contig_78565,5,0.825,66.73,,,,,,,,,,,,,,,,,,,
Contig_3031,17,0.608,51.81,,,,7_1,0.456,10601985,,,,,,,,,,17,0.772,17663204,
Contig_32385,20,0.682,61.06,7,0.512,14295243,20,0.334,7944139,15,0.014,160922,7,0.203,2376966,10,0.258,4405006,14,0.297,8438590,
Contig_31171,15,0.311,26.21,,,,,,,,,,,,,,,,1B,0.393,7069236,
Contig_20998,11,0.049,3.66,,,,,,,,,,,,,,,,,,,
Contig_11316,1,0.014,1.35,9,0.909,18404752,5,0.038,1090068,,,,,,,,,,,,,
Contig_21462,20,0.580,51.91,,,,,,,,,,,,,,,,12,0.188,4356668,
Contig_79653,2,1.000,84.07,,,,,,,,,,,,,,,,24,0.732,10185601,
Contig_1630,1,0.591,55.51,,,,5,0.675,19562083,,,,,,,,,,7,0.454,12929559,
Contig_40234,20,0.480,43.01,7,0.938,26197299,20,0.048,1134463,,,,7,0.956,11176669,,,,14,0.839,23832866,
Contig_2060,13,1.000,82.37,,,,,,,,,,,,,,,,,,,
Contig_32198,15,0.642,54.08,5,0.921,11283147,23,0.252,4580125,1,0.300,6977238,2,0.289,6237346,8,0.326,9586938,1B,0.161,2894161,
Contig_72269,12,0.373,38.25,,,,2,0.316,9598845,,,,,,,,,,5,0.721,23510083,
Contig_75005,19,0.293,27.26,13,0.276,5538286,13,0.228,6205409,21,0.455,6773810,12,0.702,8856173,12,0.607,21047928,20,0.433,12308550,
Soc507,13,0.884,72.85,3,0.619,10398810,4,0.746,19053978,,,,,,,,,,10,0.251,6027423,
Contig_17615,2,0.128,10.74,,,,7_2,0.796,11071205,,,,,,,,,,24,0.437,6085466,
Contig_88072,12,0.508,52.12,,,,2,0.634,19272009,,,,,,,1,0.750,23388677,5,0.128,4171797,
Contig_39806,7,0.730,58.93,,,,24,0.745,14765670,,,,,,,9,0.703,14738651,18-21,0.708,11656197,
Soc710,18,0.079,6.73,,,,,,,,,,,,,,,,,,,
Contig_65483,1,0.640,60.09,,,,,,,,,,,,,,,,,,,
Contig_8185,15,0.250,21.07,,,,,,,,,,,,,,,,,,,
Contig_57040,17,0.478,40.76,18,0.692,11265972,7_1,0.573,13331683,16,0.521,5376130,14,0.598,6127216,15,0.709,18929093,17,0.422,9661418,
Contig_14569,19,0.086,7.95,,,,13,0.734,19993835,,,,,,,,,,20,0.845,24008205,
Contig_26636,1,0.101,9.44,,,,,,,,,,,,,,,,19,0.214,4960728,
Contig_15920,2,0.905,76.05,,,,,,,,,,,,,,,,,,,
Contig_92766,22,0.595,48.41,,,,,,,,,,,,,,,,,,,
Contig_64606,9,0.814,67.63,6,0.123,2096711,16-22,0.047,1222214,4,0.014,194144,,,,,,,11,0.104,2714473,
Contig_15294,19,0.013,1.25,,,,13,0.763,20774789,,,,,,,,,,,,,
Contig_5783,3,0.963,88.78,,,,14,0.076,1064193,,,,,,,3,0.034,656565,3,0.086,1159782,
Contig_6637,6,0.224,20.47,20,0.333,6569186,15,0.837,25747082,7,0.612,8753236,8,0.415,4362576,11,0.345,11536051,16,0.604,15590817,
Contig_7080,3,1.000,92.21,,,,14,0.066,927862,8,0.625,9177486,,,,3,0.011,207380,3,0.012,160334,
Contig_15392,24,0.275,23.02,,,,10,0.230,6413751,,,,,,,,,,6,0.616,17367292,
Soc1041,12,0.664,68.13,2,0.616,14356353,2,0.843,25612380,13,0.263,4462194,5,0.232,3111096,1,0.553,17235459,5,0.296,9653899,
Soc652,11,0.023,1.70,,,,,,,,,,,,,,,,15,0.864,22079427,
Contig_27294,15,1.000,84.20,,,,,,,,,,,,,7,0.299,15256333,,,,
Soc635,21,0.037,3.69,,,,16-22,0.843,21780172,,,,,,,,,,4,0.215,5923388,
Contig_52798,12,0.689,70.71,,,,2,0.852,25894185,,,,,,,,,,,,,
Contig_9476,8,0.397,36.64,4,0.312,10183718,8,0.452,11725424,14,0.305,3763550,1,0.004,100805,2,0.697,17455421,,,,
Contig_40908,23,0.584,43.27,4,0.873,28491033,18,0.282,5413043,18,0.703,5660353,19,0.526,3825454,17,0.737,23411078,,,,
Contig_13328,24,0.440,36.84,,,,10,0.485,13540160,,,,,,,7,0.795,40570409,6,0.356,10045471,
Soc1044,11,0.212,15.89,,,,1,0.215,5528362,,,,,,,,,,,,,
Contig_15415,6,0.953,87.00,,,,,,,,,,,,,,,,,,,
Contig_460,19,0.193,17.89,,,,,,,,,,,,,,,,20,0.686,19482955,
Contig_68586,1,0.885,83.14,,,,,,,,,,,,,,,,,,,
Contig_10236,6,1.000,91.32,,,,,,,,,,,,,,,,,,,
Contig_4443,21,0.852,84.98,12,0.722,13283199,,,,,,,,,,,,,22-25,0.036,951764,
Contig_6276,4,0.071,6.64,,,,,,,,,,,,,,,,,,,
Contig_24351,1,0.048,4.50,,,,,,,,,,,,,,,,,,,
Contig_38845,24,0.616,51.59,,,,,,,,,,,,,,,,,,,
Contig_26681,15,0.619,52.16,5,0.834,10216311,23,0.436,7927325,,,,,,,8,0.395,11637143,1B,0.325,5850061,
Contig_25514,8,0.823,75.86,,,,8,0.904,23425035,,,,,,,2,0.002,48398,2,0.814,21342034,
Contig_5908,24,0.317,26.60,,,,,,,8,0.164,2408590,,,,,,,,,,
Contig_16452,14,0.128,11.05,6,0.854,14585870,,,,,,,,,,,,,,,,
Soc588,23,0.596,44.16,,,,,,,,,,,,,17,0.689,21869713,,,,
Contig_57994,9,0.603,50.16,,,,,,,,,,,,,13,0.459,15051126,,,,
Contig_22151,4,0.719,67.46,11,0.320,5352438,11,0.676,15746412,,,,,,,,,,8,0.141,3245942,
Contig_11245,17,0.339,28.87,,,,,,,,,,,,,,,,,,,
Contig_3200,9,0.165,13.71,,,,,,,,,,,,,,,,,,,
Contig_2098,4,0.917,86.06,,,,,,,,,,,,,,,,,,,
Soc783,24,0.655,54.88,,,,,,,,,,,,,,,,,,,
Contig_16690,17,1.000,85.20,,,,,,,,,,,,,,,,,,,
Contig_1062,6,0.241,22.05,20,0.355,7008674,15,0.820,25227712,7,0.639,9138713,8,0.454,4768999,11,0.329,11003005,16,0.582,15033752,
Soc878,22,0.572,46.51,,,,,,,,,,,,,,,,,,,
Soc701,3,0.933,86.05,,,,,,,,,,,,,,,,,,,
Contig_18915,9,0.585,48.64,,,,16-22,0.236,6093073,,,,,,,,,,11,0.304,7973604,
Contig_59130,3,0.132,12.13,,,,14,0.779,10965850,,,,,,,,,,14,0.112,3182551,
Contig_60539,23,0.025,1.86,,,,,,,,,,,,,,,,x,0.272,4836944,
Contig_45511,21,0.615,61.32,,,,,,,,,,,,,,,,22-25,0.212,5592083,
Soc987,24,0.930,77.94,,,,10,0.963,26898733,,,,,,,,,,6,0.962,27125153,
Contig_104612,19,0.159,14.75,13,0.756,15186713,13,0.666,18140961,21,0.292,4348761,12,0.843,10642624,12,0.208,7213218,20,0.777,22052782,
Contig_15666,4,0.675,63.35,11,0.889,14856537,11,0.657,15296721,5,0.397,4841828,,,,4,0.171,4897575,8,0.120,2756831,
Contig_17070,20,0.343,30.68,,,,20,0.684,16250393,,,,,,,,,,14,0.780,22158606,
Contig_33862,1,0.799,75.03,9,0.605,12256176,5,0.890,25769169,,,,,,,6,0.835,30649432,7,0.237,6748042,
Soc604,6,0.296,27.07,,,,,,,,,,,,,,,,,,,
Contig_88237,13,0.937,77.14,,,,4,0.749,19134236,,,,,,,,,,10,0.247,5949590,
Contig_17600,6,0.786,71.77,,,,,,,,,,,,,,,,,,,
Soc1006,19,0.781,72.50,13,0.530,10648919,13,0.464,12640883,,,,,,,,,,20,0.211,5999653,
Contig_39204,15,0.038,3.24,,,,,,,,,,,,,,,,,,,
Contig_41775,16,0.220,22.21,15,0.842,13638463,19,0.202,4960065,,,,,,,,,,12,0.199,4617011,
Contig_16932,9,0.526,43.75,,,,,,,,,,,,,,,,,,,
Contig_47650,5,0.914,73.98,1,0.606,17090883,21,0.773,22174868,,,,,,,,,,13,0.986,27238748,
Contig_8433,1,0.319,29.96,9,0.359,7264705,5,0.219,6328634,,,,,,,,,,7,0.759,21622440,
Contig_72963,22,0.609,49.59,14,0.170,2585030,9,0.688,15808326,,,,,,,,,,19,0.382,8852575,
Contig_1720,10,0.601,54.00,,,,,,,,,,,,,,,,,,,
Contig_29569,1,0.582,54.65,,,,,,,,,,,,,,,,,,,
Contig_30523,6,0.041,3.78,,,,15,0.554,17051920,,,,,,,,,,16,0.923,23836545,
Contig_21471,4,0.357,33.54,11,0.530,8848655,11,0.395,9190560,,,,3,0.704,10906714,,,,8,0.412,9506066,
Contig_538,14,0.116,10.03,,,,,,,,,,,,,,,,16,0.984,25401843,
Soc737,24,1.000,83.80,19,0.049,982922,10,0.953,26631029,,,,,,,,,,6,0.953,26848827,
Contig_3747,13,0.773,63.71,,,,,,,22,0.731,8484553,15,0.585,4285570,,,,,,,
Contig_73579,17,0.955,81.33,,,,7_1,0.087,2031759,,,,,,,15,0.215,5734841,17,0.802,18370216,
Contig_22273,17,0.988,84.21,,,,,,,,,,,,,,,,,,,
Contig_72221,22,0.718,58.42,,,,9,0.625,14380288,,,,,,,,,,19,0.391,9068736,
Contig_920,18,0.443,37.58,,,,,,,,,,,,,,,,,,,
Contig_26837,18,0.789,66.99,,,,17,0.712,19714551,,,,1,0.867,19920837,17,0.985,31262266,,,,
Contig_87445,22,0.572,46.51,,,,,,,,,,,,,,,,,,,
Soc712,1,0.274,25.73,,,,,,,,,,,,,,,,,,,
Contig_57705,19,0.781,72.50,13,0.555,11145836,13,0.485,13214316,,,,,,,12,0.368,12749957,20,0.232,6588389,
Contig_9093,20,0.682,61.06,,,,20,0.180,4281632,,,,,,,,,,14,0.146,4152548,
Contig_21990,2,0.383,32.16,1,0.731,20616696,,,,,,,,,,,,,24,0.472,6565917,
Soc946,5,0.360,29.15,1,0.216,6093110,21,0.285,8161035,,,,,,,,,,11,0.413,10826927,
Contig_25345,23,0.697,51.58,4,0.932,30423530,18,0.416,7987144,18,0.516,4155434,,,,17,0.640,20327924,x,0.688,12232231,
Soc1008,11,0.665,49.85,1,0.053,1495453,18,0.862,16536411,,,,,,,,,,,,,
Contig_41772,16,0.410,41.42,,,,,,,,,,,,,,,,12,0.270,6269179,
Contig_8486,2,0.623,52.38,,,,,,,,,,,,,,,,,,,
Contig_23439,16,0.131,13.20,,,,,,,,,,,,,,,,,,,
Contig_10824,11,0.339,25.44,,,,,,,,,,,,,,,,,,,
