LOCUS	LEFT_LOCUS	RIGHT_LOCUS	LEFT_POS	RIGHT_POS	SUPPORT	INTERVAL_SIZE	LG
TRINITY_DN63744_c0_g1_i1	Contig_17649	Contig_6709	17.27	20.39	dlab	3.12	19
TRINITY_DN43576_c0_g2_i1	Contig_18818	Contig_26746	51.20	51.25	dlab	0.0499999999999972	11
TRINITY_DN57587_c0_g1_i1	Contig_28605	Contig_7484	99.34	98.24	gacu,lcal,dlab	1.10000000000001	12
TRINITY_DN49141_c0_g1_i1	Contig_22073	Soc551	6.64	8.07	gacu	1.43	4
TRINITY_DN79338_c0_g1_i1	Contig_9029	Soc897	15.58	17.27	dlab	1.69	19
TRINITY_DN82360_c0_g1_i1	Soc558	Contig_31412	43.75	42.32	lcal,onil,dlab	1.43	9
TRINITY_DN45688_c2_g4_i1	Contig_21471	Contig_63165	33.54	36.70	lcal	3.16	4
TRINITY_DN27750_c0_g2_i1	Contig_41456	Contig_58292	63.00	64.26	gacu,lcal,tnig,onil,dlab	1.26000000000001	24
TRINITY_DN43029_c0_g1_i1	Contig_37743	Contig_1926	11.79	9.78	lcal,dlab	2.01	24
TRINITY_DN41048_c0_g2_i1	Soc619	Lcr04	5.90	12.45	gacu,lcal	6.55	21
TRINITY_DN40354_c0_g1_i1	Contig_93038	Dla10	24.56	28.48	trub,tnig	3.92	6
TRINITY_DN45327_c0_g2_i1	Soc1095	Contig_53258	57.46	67.14	lcal	9.68	13
TRINITY_DN59041_c0_g1_i1	Contig_15357	Contig_10411	29.65	29.96	lcal	0.310000000000002	1
TRINITY_DN32949_c1_g2_i1	Contig_26057	Contig_83533	8.46	8.60	gacu,tnig,dlab	0.139999999999999	5
TRINITY_DN44962_c0_g1_i1	Dla09	Soc645	61.04	66.86	tnig	5.82	14
TRINITY_DN47598_c0_g2_i1	Contig_3477	Contig_31364	69.18	73.90	lcal,dlab	4.72	10
TRINITY_DN48504_c0_g2_i1	Contig_14220	Contig_13891	42.60	38.28	gacu,lcal,onil,dlab	4.32	5
TRINITY_DN69935_c0_g1_i1	Contig_57197	Soc1016	48.11	46.80	trub,tnig,onil	1.31	21
TRINITY_DN30620_c0_g1_i1	Soc661	Contig_29312	41.46	42.85	lcal,dlab	1.39	18
TRINITY_DN9308_c0_g2_i1	Dla79	Soc1148	21.07	20.40	gacu,trub,tnig,onil,dlab	0.670000000000002	15
TRINITY_DN48067_c0_g1_i1	Contig_17279	Contig_37291	72.23	71.60	gacu,dlab	0.63000000000001	2
TRINITY_DN49286_c1_g2_i1	Contig_8360	Contig_17183	30.77	33.95	gacu,lcal,trub,tnig,onil,dlab	3.18	21
TRINITY_DN7775_c0_g1_i1	Soc786	Soc419	18.00	18.00	dlab	0	7
TRINITY_DN37666_c0_g2_i1	Soc645	Dla09	66.86	61.04	gacu,trub	5.82	14
TRINITY_DN36977_c0_g2_i1	Contig_20030	Contig_10306	47.35	46.10	trub,tnig,dlab	1.25	3
TRINITY_DN59997_c0_g1_i1	Soc1016	Soc578	46.80	33.95	onil	12.85	21
TRINITY_DN38134_c1_g1_i1	Soc721	Soc622	0.62	3.44	lcal	2.82	20
TRINITY_DN25732_c0_g2_i1	Soc1063	Contig_10045	24.45	23.19	gacu,lcal,dlab	1.26	1
TRINITY_DN27241_c1_g1_i1	Contig_150	Contig_66678	79.65	79.83	onil	0.179999999999993	13
TRINITY_DN89977_c0_g1_i1	Soc693	Contig_68171	70.95	73.50	gacu,onil	2.55	11
TRINITY_DN50023_c0_g2_i1	Contig_106699	Contig_21531	5.76	5.76	gacu,dlab	0	18
TRINITY_DN27933_c0_g2_i1	Lcr12	Contig_15939	74.87	74.87	gacu,lcal,trub,dlab	0	22
TRINITY_DN46987_c0_g1_i1	Contig_55349	Soc681	20.45	21.71	gacu,dlab	1.26	17
TRINITY_DN44923_c0_g2_i1	Contig_19384	Contig_10209	50.31	55.27	trub,tnig	4.96	21
TRINITY_DN35053_c0_g1_i1	Soc558	Contig_31412	43.75	42.32	gacu,lcal,trub,tnig,onil,dlab	1.43	9
TRINITY_DN31169_c0_g3_i1	Contig_13642	Contig_3250	24.48	26.92	dlab	2.44	13
TRINITY_DN51832_c0_g1_i1	Contig_5090	Contig_9254	24.95	26.60	gacu,lcal	1.65	24
TRINITY_DN37802_c0_g2_i1	Contig_15130	Contig_20641	73.55	75.89	onil	2.34	3
TRINITY_DN38662_c0_g2_i1	Contig_7080	Dla87	92.21	79.30	trub	12.91	3
TRINITY_DN49502_c2_g2_i1	Contig_1924	Contig_18195	56.10	63.74	onil	7.64	22
TRINITY_DN46686_c0_g2_i1	Contig_47903	Soc156	66.73	66.73	onil	0	5
TRINITY_DN67393_c0_g1_i1	Contig_83533	Soc1017	8.60	7.84	trub	0.76	5
TRINITY_DN35689_c1_g1_i1	Contig_31952	Soc1129	51.07	54.36	dlab	3.29	8
TRINITY_DN29962_c0_g2_i1	Contig_100319	Contig_41313	69.09	69.37	lcal,trub,dlab	0.280000000000001	19
TRINITY_DN29699_c0_g2_i1	Contig_54092	Soc563	10.15	9.19	lcal,onil,dlab	0.960000000000001	9
TRINITY_DN44839_c0_g2_i1	Contig_76354	Soc558	45.68	43.75	gacu,lcal,trub,tnig,onil,dlab	1.93	9
TRINITY_DN27179_c0_g2_i1	Contig_9990	Contig_6281	52.26	50.91	dlab	1.35	15
TRINITY_DN45111_c6_g1_i1	Soc1108	Contig_16402	48.24	41.77	trub	6.47	14
TRINITY_DN45688_c2_g1_i1	Contig_21471	Contig_63165	33.54	36.70	lcal	3.16	4
TRINITY_DN47718_c0_g1_i1	Soc624	Contig_19340	18.00	27.07	lcal,dlab	9.07	7
TRINITY_DN76994_c0_g1_i1	Contig_102672	Soc1073	4.31	3.69	dlab	0.62	21
TRINITY_DN33629_c0_g4_i1	Contig_3903	Contig_10131	59.23	58.59	lcal,dlab	0.639999999999993	17
TRINITY_DN38258_c0_g1_i1	Soc910	Contig_16536	31.18	32.61	gacu,trub,dlab	1.43	6
TRINITY_DN92152_c0_g1_i1	Contig_15392	Contig_3960	23.02	24.95	gacu,lcal	1.93	24
TRINITY_DN47873_c0_g1_i1	Soc913	Contig_1122	46.76	44.35	gacu,trub,onil	2.41	21
TRINITY_DN49657_c1_g3_i1	Contig_7095	Contig_11316	4.19	1.35	gacu,lcal,dlab	2.84	1
TRINITY_DN48059_c0_g1_i1	Soc630	Contig_26653	32.17	33.39	gacu,lcal,trub,onil,dlab	1.22	20
TRINITY_DN45499_c1_g2_i1	Soc412	Dla10	31.18	28.48	lcal,dlab	2.7	6
TRINITY_DN28284_c0_g2_i1	Contig_30032	Contig_18930	48.91	48.91	lcal,dlab	0	7
TRINITY_DN73295_c0_g1_i1	Contig_40234	Contig_8178	43.01	44.26	gacu,trub	1.25	20
TRINITY_DN48843_c0_g9_i1	Mmi11	Contig_2075	10.46	8.57	tnig	1.89	18
TRINITY_DN64204_c0_g1_i1	Soc569	Contig_100319	61.71	69.09	lcal	7.38	19
TRINITY_DN50106_c3_g4_i1	Contig_48824	Contig_64871	78.29	74.39	gacu	3.90000000000001	4
TRINITY_DN46843_c1_g1_i1	Contig_5987	Contig_65842	9.52	10.46	gacu,dlab	0.940000000000001	23
TRINITY_DN43842_c3_g1_i1	Contig_38502	Contig_52548	36.80	16.28	gacu	20.52	18
TRINITY_DN17829_c0_g1_i1	Contig_10131	Contig_911	58.59	60.01	lcal,dlab	1.41999999999999	17
TRINITY_DN90907_c0_g1_i1	Contig_32689	Contig_21958	65.42	65.42	onil,dlab	0	9
TRINITY_DN43399_c1_g1_i1	Contig_54092	Soc563	10.15	9.19	lcal,dlab	0.960000000000001	9
TRINITY_DN57224_c0_g1_i1	Soc645	Dla09	66.86	61.04	gacu	5.82	14
TRINITY_DN28697_c0_g2_i1	Contig_18491	Contig_2560	32.65	36.64	trub,onil	3.99	8
TRINITY_DN28024_c1_g1_i1	Soc810	Contig_38617	48.64	50.56	gacu,lcal,trub,tnig,onil,dlab	1.92	17
TRINITY_DN30065_c0_g3_i1	Contig_63606	Mmi10	84.79	85.42	gacu	0.629999999999995	10
TRINITY_DN43681_c4_g3_i1	Contig_21058	Soc645	63.50	66.86	lcal,tnig,onil,dlab	3.36	14
TRINITY_DN47572_c0_g2_i1	Contig_11334	Contig_27134	78.51	77.30	gacu,lcal,onil,dlab	1.21000000000001	19
TRINITY_DN50128_c0_g1_i1	Contig_16402	Contig_466	41.77	1.69	trub	40.08	14
TRINITY_DN48875_c0_g1_i1	Lcr12	Contig_15939	74.87	74.87	gacu,lcal,dlab	0	22
TRINITY_DN50401_c0_g1_i1	Soc430	Contig_14005	76.65	77.31	lcal,dlab	0.659999999999997	1
TRINITY_DN46036_c0_g4_i1	Contig_9029	Contig_91244	15.58	14.75	onil	0.83	19
TRINITY_DN16474_c0_g1_i1	Contig_78618	Contig_326	57.42	64.54	tnig	7.12	18
TRINITY_DN41822_c0_g1_i1	Soc578	Soc832	33.95	44.35	lcal,trub,tnig,dlab	10.4	21
TRINITY_DN44650_c2_g1_i1	Contig_27075	Contig_10306	46.10	46.10	lcal,trub,dlab	0	3
TRINITY_DN30905_c0_g2_i1	Contig_39603	Soc1037	24.70	22.99	lcal,trub,tnig,dlab	1.71	21
TRINITY_DN33064_c0_g3_i1	Contig_35583	Contig_9368	17.89	20.39	lcal,dlab	2.5	19
TRINITY_DN45627_c0_g1_i1	Contig_4075	Contig_18114	69.18	70.34	lcal	1.16	15
TRINITY_DN36044_c0_g1_i1	Soc419	Soc992	18.00	28.56	gacu	10.56	7
TRINITY_DN41011_c0_g1_i1	Contig_6831	Contig_81929	84.87	82.57	dlab	2.30000000000001	18
TRINITY_DN38271_c0_g1_i1	Contig_28213	Soc568	48.55	40.62	gacu,lcal,trub,dlab	7.93	6
TRINITY_DN45411_c0_g1_i1	Soc412	Dla10	31.18	28.48	dlab	2.7	6
TRINITY_DN69745_c0_g1_i1	Soc402	Contig_5544	84.95	87.75	onil,dlab	2.8	8
TRINITY_DN49248_c3_g2_i1	Contig_14799	Contig_9201	49.65	48.24	gacu,lcal	1.41	14
TRINITY_DN94088_c0_g1_i1	Contig_68186	Soc571	81.59	80.67	dlab	0.920000000000002	21
TRINITY_DN31917_c0_g1_i1	Contig_64456	Contig_150	80.27	79.65	trub	0.61999999999999	13
TRINITY_DN17529_c0_g1_i1	Soc1037	Soc1052	22.99	19.80	trub,tnig,dlab	3.19	21
TRINITY_DN88913_c0_g1_i1	Contig_61880	Contig_27414	50.59	50.21	lcal	0.380000000000003	6
TRINITY_DN43390_c0_g1_i1	Soc657	Contig_23642	44.71	34.77	onil	9.94	22
TRINITY_DN21029_c0_g2_i1	Soc140	Contig_3575	36.51	41.16	gacu,trub,tnig,onil,dlab	4.65	22
TRINITY_DN29977_c0_g1_i1	Contig_21639	Contig_1015	46.48	49.01	dlab	2.53	15
TRINITY_DN48187_c1_g2_i1	Contig_26057	Contig_49881	8.46	7.48	onil,dlab	0.98	5
TRINITY_DN1436_c0_g1_i1	Contig_93038	Contig_12049	24.56	26.24	lcal	1.68	6
TRINITY_DN89901_c0_g1_i1	Contig_40869	Contig_53258	63.09	67.14	dlab	4.05	13
TRINITY_DN49970_c2_g2_i1	Soc507	Contig_15868	72.85	71.01	dlab	1.83999999999999	13
TRINITY_DN38515_c0_g1_i1	Contig_5875	Contig_9476	28.14	36.64	trub	8.5	8
TRINITY_DN76436_c0_g1_i1	Dla66	Soc952	61.64	55.84	gacu,lcal,onil	5.8	3
TRINITY_DN11136_c0_g2_i1	Contig_31364	Soc1020	73.90	76.99	onil	3.08999999999999	10
TRINITY_DN37564_c0_g1_i1	Contig_6874	Dla53	70.13	80.77	trub	10.64	7
TRINITY_DN50119_c4_g1_i1	Soc642	Contig_6605	89.33	91.93	lcal	2.60000000000001	21
TRINITY_DN90056_c0_g1_i1	Contig_49135	Contig_10686	90.68	87.95	lcal	2.73	4
TRINITY_DN79119_c0_g1_i1	Contig_10045	Contig_4432	23.19	21.04	gacu,lcal,dlab	2.15	1
TRINITY_DN32861_c0_g3_i1	Contig_518	Contig_23708	73.78	73.78	dlab	0	20
TRINITY_DN49850_c1_g2_i1	Contig_58292	Contig_22317	64.26	67.22	lcal,tnig,onil	2.95999999999999	24
TRINITY_DN50016_c1_g1_i1	Soc1052	Contig_39603	19.80	24.70	tnig	4.9	21
TRINITY_DN49564_c4_g2_i1	Contig_10874	Contig_34845	67.26	61.32	tnig,onil	5.94	21
TRINITY_DN32177_c1_g3_i1	Contig_29539	Contig_9029	14.75	15.58	lcal,trub,tnig,onil	0.83	19
TRINITY_DN89785_c0_g1_i1	Contig_32385	Contig_5080	61.06	55.36	gacu	5.7	20
TRINITY_DN43090_c0_g1_i1	Contig_93038	Contig_12049	24.56	26.24	lcal,onil	1.68	6
TRINITY_DN31844_c0_g1_i1	Contig_10089	Soc1143	5.50	2.90	dlab	2.6	24
TRINITY_DN49303_c0_g4_i1	Contig_28122	Dla84	12.57	32.67	trub	20.1	16
TRINITY_DN44999_c0_g1_i1	Soc1052	Contig_39603	19.80	24.70	tnig	4.9	21
TRINITY_DN67943_c0_g1_i1	Contig_6831	Contig_81929	84.87	82.57	dlab	2.30000000000001	18
TRINITY_DN58150_c0_g1_i1	Contig_15127	Contig_52224	33.30	33.30	lcal,dlab	0	15
TRINITY_DN43202_c0_g2_i1	Soc950	Contig_64871	67.46	74.39	lcal	6.93000000000001	4
TRINITY_DN16339_c0_g1_i1	Contig_66714	Contig_40403	10.46	10.46	dlab	0	23
TRINITY_DN88126_c0_g1_i1	Contig_5090	Contig_9254	24.95	26.60	gacu,lcal,trub,tnig,onil	1.65	24
TRINITY_DN89224_c0_g1_i1	Contig_31777	Contig_1141	73.65	73.65	gacu,lcal,onil	0	24
TRINITY_DN41294_c0_g1_i1	Contig_21967	Contig_5783	86.05	88.78	trub,dlab	2.73	3
TRINITY_DN33850_c0_g1_i1	Soc700	Contig_466	5.62	1.69	lcal	3.93	14
TRINITY_DN38134_c0_g1_i1	Contig_14166	Contig_73216	2.01	2.01	gacu,lcal,dlab	0	20
TRINITY_DN28955_c0_g1_i1	Contig_9254	Contig_36169	26.60	27.85	lcal,onil	1.25	24
TRINITY_DN27179_c0_g1_i1	Contig_9990	Contig_6281	52.26	50.91	dlab	1.35	15
TRINITY_DN37789_c0_g1_i1	Soc978	Contig_24687	67.17	52.84	trub,tnig	14.33	23
TRINITY_DN48404_c3_g1_i1	Contig_150	Contig_66678	79.65	79.83	lcal,onil	0.179999999999993	13
TRINITY_DN15927_c0_g1_i1	Contig_32905	Contig_47513	56.46	69.15	tnig	12.69	7
TRINITY_DN34937_c0_g2_i1	Contig_40076	Soc431	59.70	59.70	trub	0	18
TRINITY_DN75352_c0_g1_i1	Soc707	Soc418	12.34	10.96	lcal	1.38	5
TRINITY_DN34843_c0_g1_i1	Contig_11334	Contig_27134	78.51	77.30	gacu,onil	1.21000000000001	19
TRINITY_DN37401_c0_g1_i1	Dla71	Soc1025	27.26	32.01	onil	4.75	19
TRINITY_DN76463_c0_g1_i1	Dla43	Contig_14464	7.22	6.84	gacu,onil,dlab	0.38	7
TRINITY_DN56021_c0_g1_i1	Contig_34907	Contig_27026	72.74	73.56	dlab	0.820000000000007	14
TRINITY_DN50106_c3_g3_i1	Contig_48824	Contig_64871	78.29	74.39	gacu	3.90000000000001	4
TRINITY_DN26663_c0_g1_i1	Contig_18930	Contig_12913	48.91	44.04	lcal,dlab	4.87	7
TRINITY_DN33294_c0_g2_i1	Contig_28455	Contig_72330	71.41	72.67	lcal,onil	1.26000000000001	23
TRINITY_DN69703_c0_g1_i1	Contig_1905	Dla89	61.00	61.16	gacu,lcal	0.159999999999997	17
TRINITY_DN33945_c0_g2_i1	Soc657	Contig_23642	44.71	34.77	onil	9.94	22
TRINITY_DN26456_c0_g1_i1	Contig_22317	Contig_58292	67.22	64.26	gacu,lcal,trub,tnig,onil	2.95999999999999	24
TRINITY_DN53820_c0_g1_i1	Soc1095	Contig_53258	57.46	67.14	lcal	9.68	13
TRINITY_DN44626_c1_g1_i1	Contig_9476	Soc762	36.64	36.64	gacu,lcal,trub,tnig,dlab	0	8
TRINITY_DN46883_c3_g1_i1	Contig_33405	Dla91	30.82	23.02	gacu,lcal,dlab	7.8	9
TRINITY_DN19102_c0_g1_i1	Soc1115	Soc568	35.97	40.62	gacu,lcal,trub,dlab	4.65	6
TRINITY_DN68399_c0_g1_i1	Contig_41568	Contig_75639	50.90	58.88	dlab	7.98	21
TRINITY_DN42337_c0_g1_i1	Contig_21990	Contig_10030	32.16	37.34	dlab	5.18000000000001	2
TRINITY_DN81231_c0_g1_i1	Dla68	Soc1114	30.15	0	gacu	30.15	3
TRINITY_DN49779_c2_g6_i1	Contig_40846	Contig_29953	63.30	77.94	trub	14.64	1
TRINITY_DN52163_c0_g1_i1	Dla43	Contig_14464	7.22	6.84	onil,dlab	0.38	7
TRINITY_DN49372_c4_g1_i1	Lcr04	Contig_27565	12.45	17.02	lcal	4.57	21
TRINITY_DN40560_c1_g1_i1	Contig_23642	Soc140	34.77	36.51	onil,dlab	1.73999999999999	22
TRINITY_DN88306_c0_g1_i1	Soc663	Contig_12011	38.81	40.00	dlab	1.19	4
TRINITY_DN66885_c0_g1_i1	Contig_23642	Soc140	34.77	36.51	onil,dlab	1.73999999999999	22
TRINITY_DN61134_c0_g1_i1	Contig_41456	Contig_86884	63.00	61.28	dlab	1.72	24
TRINITY_DN34577_c0_g1_i1	Contig_59130	Contig_22201	12.13	17.38	lcal	5.25	3
TRINITY_DN48431_c4_g3_i1	Contig_29746	Contig_8886	33.11	35.08	dlab	1.97	3
TRINITY_DN48939_c0_g1_i1	Contig_8239	Contig_12218	49.89	45.33	lcal,onil,dlab	4.56	8
TRINITY_DN28593_c0_g1_i1	Contig_29679	Contig_16390	24.57	22.05	dlab	2.52	6
TRINITY_DN76644_c0_g1_i1	Soc140	Contig_3575	36.51	41.16	dlab	4.65	22
TRINITY_DN43090_c0_g2_i1	Contig_93038	Contig_12049	24.56	26.24	lcal,onil	1.68	6
TRINITY_DN82524_c0_g1_i1	Contig_26858	Contig_10826	9.84	10.58	dlab	0.74	15
TRINITY_DN89178_c0_g1_i1	Soc1051	Contig_87980	32.32	32.01	onil	0.310000000000002	19
TRINITY_DN7183_c0_g2_i1	Contig_3343	Contig_1130	20.96	18.36	gacu	2.6	4
TRINITY_DN30634_c1_g2_i1	Contig_9990	Contig_6281	52.26	50.91	dlab	1.35	15
TRINITY_DN50106_c3_g1_i1	Contig_48824	Contig_64871	78.29	74.39	gacu	3.90000000000001	4
TRINITY_DN47295_c0_g2_i1	Contig_615	Soc1022	43.36	51.14	lcal	7.78	18
TRINITY_DN33850_c0_g3_i1	Soc700	Contig_466	5.62	1.69	lcal	3.93	14
TRINITY_DN34718_c0_g2_i1	Contig_22073	Soc551	6.64	8.07	gacu,trub	1.43	4
TRINITY_DN46709_c0_g2_i1	Soc1091	Soc576	87.75	87.75	gacu,lcal,onil,dlab	0	8
TRINITY_DN83390_c0_g1_i1	Soc919	Contig_104612	12.86	14.75	onil	1.89	19
TRINITY_DN46686_c0_g7_i1	Contig_47903	Soc156	66.73	66.73	onil	0	5
TRINITY_DN42870_c8_g1_i1	Contig_64591	Contig_8822	37.34	39.94	dlab	2.59999999999999	2
TRINITY_DN44923_c0_g1_i1	Contig_19384	Contig_10209	50.31	55.27	trub,tnig	4.96	21
TRINITY_DN31054_c0_g1_i1	Contig_4308	Contig_33841	28.79	26.61	onil	2.18	12
TRINITY_DN45398_c1_g1_i1	Contig_1911	Contig_48437	60.09	60.09	gacu,onil,dlab	0	1
TRINITY_DN35218_c0_g1_i1	Contig_1597	Contig_15850	43.32	38.64	trub,tnig	4.68	11
TRINITY_DN45092_c0_g4_i1	Soc567	Contig_3776	7.31	7.31	dlab	0	18
TRINITY_DN49613_c2_g4_i1	Contig_23642	Soc140	34.77	36.51	tnig,dlab	1.73999999999999	22
TRINITY_DN5924_c0_g1_i1	Contig_1597	Contig_15850	43.32	38.64	trub,tnig	4.68	11
TRINITY_DN36321_c0_g2_i1	Contig_3237	Contig_24248	0	8.26	dlab	8.26	19
TRINITY_DN48067_c0_g2_i1	Contig_17279	Contig_37291	72.23	71.60	gacu,dlab	0.63000000000001	2
TRINITY_DN49506_c0_g2_i1	Contig_16651	Dla84	28.06	32.67	onil	4.61	16
